WSAW,PO/LOT,Comment,Wafer id,TTV,Warp,Bow,Wav ind,Entry Warp 10mm,Entry Warp 20mm,Entry Warp 30mm,Exit Warp 10mm,Exit Warp 20mm,Exit Warp 30mm,Entry wav,Exit wav
,,,UFJQ0AA0920,11.59,16.31,-4.55,0.72,-2.73,-4.06,-5.88,2.46,2.46,-2.72,0.4,0.46
,,,UFJQ0AA1101,11.54,17.99,-5.09,0.86,-2.29,-3.23,-4.6,6.26,6.3,6.3,0.31,0.86
WSAWB20,GIE-QC-A5E,044*29.1*TM900 * A-752*Wire-03*0104*T222T010*23062503,UCJGPAG0120,9.63,13.42,-1.33,0.79,1.34,-1.61,-3.61,1.23,2.45,3.95,0.5,0.34
2023/6/26 02:22,UCJGPAG,,UCJGPAG0320,10.13,12.98,-1.98,0.79,-0.84,-1.9,-3.9,1.19,1.87,2.72,0.38,0.37
,,,UCJGPAG0520,10.06,13,-2.32,0.88,-2.09,-2.7,-4.18,1.82,2.42,3.21,0.4,0.32
,,,UCJGPAG0720,11.36,15.7,-2.86,0.82,-3.55,-5.38,-7.09,2.23,2.23,2.23,0.32,0.25
,,,UCJGPAG0920,10.42,14.83,-3.31,0.8,-3.72,-4.8,-6.41,2.59,2.59,2.59,0.29,0.35
,,,UCJGPAG1108,11.33,16.39,-4.01,0.88,-2.89,-3.56,-4.76,4.55,4.84,4.84,0.35,0.44
WSAWB20,DEV-QC-60H,043*24.9*TM900 * A-743*Wire-02*0041*T222T010*23062403,UJC8HAA0120,8.21,12.17,-1.78,0.91,-1.48,-3.33,-4.74,2.67,2.67,2.67,0.78,0.3
2023/6/25 11:19,UJC8HAA,,UJC8HAA0220,8.5,12.33,-2.28,0.85,-1.57,-3.04,-4.46,2.5,2.5,2.5,0.81,0.24
,,,UJC8HAA0420,8.98,13.77,-3.18,0.87,-1.47,-3.18,-4.72,1.67,1.67,-1.86,0.8,0.27
,,,UJC8HAA0620,9.97,15.65,-3.91,0.9,-2.11,-3.96,-5.54,1,-1.68,-2.16,0.81,0.31
,,,UJC8HAA0820,9.86,16.9,-4.47,0.89,-1.85,-3.77,-5.13,1.03,-2.65,-3.74,0.76,0.33
,,,UJC8HAA0920,10.89,19.12,-5.44,0.86,-1.4,-3.28,-4.65,-1.1,-2.68,-2.93,0.73,0.36
WSAWB20,DEV-QC-56P,042*31.6*TM900 * A-733*Wire-01*0016*T222T010*23062401,UJG4LAE0120,8.19,12.31,-1.64,0.77,-1.18,-2.43,-5.36,0.97,1.68,2.42,0.64,0.14
2023/6/24 20:11,UJG4LAE,,UJG4LAE0320,9.81,12.92,-2.23,0.68,-0.81,-2.43,-5.13,1.26,1.28,1.75,0.58,0.19
,,,UJG4LAE0520,11.89,14.41,-3.01,0.72,-1.75,-3.3,-5.64,1.57,1.57,1.57,0.42,0.23
,,,UJG4LAE0820,12.06,17.27,-3.76,0.82,-3.32,-5.45,-8,1.83,-2.01,-2.17,0.41,0.34
,,,UJG4LAE1020,11.69,16.33,-3.82,0.81,-3.75,-6.02,-7.91,2,2,-2.3,0.48,0.48
,,,UJG4LAE1208,12.75,14.77,-4.2,0.58,-2.74,-4.45,-5.77,2.51,2.76,-2.87,0.51,0.58
WSAWB20,GIE-QC-A5E,041*29.2*TM900 * A-724*Wire-03*0103*T023T032*23062302,UEIGEAA0120,10.68,10.86,-0.14,0.65,-0.75,-2.22,-3.86,-1.55,1.91,3,0.39,0.41
2023/6/24 04:14,UEIGEAA,,UEIGEAA0320,10.95,8.53,-0.73,0.64,-1.5,-2.33,-4.01,1.02,1.4,2.58,0.23,0.2
,,,UEIGEAA0520,10.79,9.39,-1.12,0.52,-2.01,-2.92,-4.65,0.81,1.33,2.69,0.2,0.33
,,,UEIGEAA0720,11.89,10.18,-1.24,0.56,-3.04,-4.66,-6.65,1.22,1.22,1.3,0.27,0.23
,,,UEIGEAA0920,11.61,10.01,-1.94,0.52,-2.72,-3.96,-5.94,1.27,1.41,-1.68,0.33,0.33
,,,UEIGEAA1108,12.48,11.05,-2.4,0.53,-2.23,-3.22,-5,2.5,3.6,3.6,0.26,0.53
WSAWB20,UMS-QC-07L,038*31.5*TM900 * A-697*Wire-03*0024*T027T224*23062102,UFJP9AH0120,8.22,10.15,0.34,0.76,-1.33,-2.01,-2.84,1.35,3.91,4.15,0.41,0.58
2023/6/22 05:37,UFJP9AH,,UFJP9AH0320,8.41,9.54,-0.41,0.62,-1.49,-2.79,-3.45,2.41,4.42,5.08,0.29,0.55
,,,UFJP9AH0520,7.45,9.76,-0.84,0.71,-2.28,-3.79,-4.22,1.66,2.93,3.95,0.33,0.32
,,,UFJP9AH0820,8.36,10.33,-0.81,0.72,-3.65,-5.32,-6.67,1.39,1.79,2.15,0.35,0.38
,,,UFJP9AH1020,8.98,8.98,-1.11,0.57,-3.96,-4.91,-5.95,2.21,2.24,2.24,0.47,0.39
,,,UFJP9AH1208,10.62,7.8,-1.3,0.86,-3.27,-3.9,-4.45,7.62,7.62,7.62,0.39,0.86
WSAWB20,GIE-QA-22H,035*30.5*TM900 * A-669*Wire-03*0112*T007T013*23061902,UEHHPAD0120,8.98,13.59,-2.32,0.57,0.6,-2.16,-3.91,2.54,3.87,4.21,0.37,0.5
2023/6/20 07:54,UEHHPAD,,UEHHPAD0320,9.2,11.26,-2.2,0.44,0.75,-1.93,-2.89,0.71,1.85,2.58,0.26,0.25
,,,UEHHPAD0520,9,12.24,-3.04,0.43,-0.75,-1.93,-2.67,1.04,1.7,2.6,0.29,0.22
,,,UEHHPAD0820,10.38,15.91,-3.4,0.46,-0.65,-2.65,-3.46,0.77,0.77,1.2,0.29,0.15
,,,UEHHPAD1020,10.95,14.3,-3.29,0.43,0.62,-1.88,-3.29,-0.57,-0.83,-1.12,0.22,0.17
,,,UEHHPAD1201,11.93,16.67,-4.34,0.72,0.89,-1.79,-2.64,-1.26,-1.59,-1.91,0.65,0.25
WSAWB20,INF-QX-99B,034*25.9*Other * A-658*Wire-02*0018*T007T013*23061901,UJH0YAF0120,8.33,8.86,0.71,1,1.05,1.06,-1.26,4.04,4.53,4.53,0.39,0.94
2023/6/19 16:20,UJH0YAF,,UJH0YAF0220,8.67,7.48,-1.91,0.69,-0.51,-1.09,-1.71,1.95,2.79,2.79,0.33,0.61
,,,UJH0YAF0420,9.88,10.51,-3.11,0.69,-0.88,-1.19,-1.87,1,1.55,1.55,0.4,0.6
,,,UJH0YAF0620,9.78,12.78,-4.05,0.64,-0.99,-1.65,-2.85,-0.56,0.58,-1.01,0.36,0.59
,,,UJH0YAF0820,10.26,10.01,-2.69,0.62,-0.73,-1.33,-2.13,0.63,-1.32,-1.78,0.33,0.57
,,,UJH0YAF1008,11.28,13.09,-3.54,0.78,-0.58,-1.19,-2.02,-1.58,-1.96,-2.55,0.37,0.44
WSAWB20,GIE-QC-A6F,033*29*TM900 * A-648*Wire-01*0007*T007T013*23061702,UFG69AA0120,10.16,9.33,-1.47,0.72,1.38,1.38,-3,-1.47,3.07,3.82,0.66,0.63
2023/6/19 00:23,UFG69AA,,UFG69AA0320,10.96,9.73,-2.82,0.77,-0.82,-1.59,-3.01,1.04,-1.11,-1.11,0.42,0.28
,,,UFG69AA0520,11.94,11.16,-2.5,0.69,-1.59,-2.91,-4.17,1.11,-1.69,-1.76,0.3,0.32
,,,UFG69AA0720,12.13,12.48,-3.06,0.6,-1.87,-3.19,-4.92,1.35,-2.25,-2.77,0.33,0.36
,,,UFG69AA0920,11.9,13.24,-3.49,0.84,-1.7,-2.89,-4.17,1.75,-1.84,-2.75,0.29,0.49
,,,UFG69AA1108,12.87,14.02,-3.91,0.7,-1.39,-2.8,-4.63,3.14,3.27,3.27,0.39,0.7
WSAWB20,NXC-QC-03B,032*30.9*TM900 * A-637*Wire-03*0083*T006T022*23061703,UBIJFAH0120,7.24,10.28,-2.02,0.7,1.8,2.16,2.16,1.82,3.27,4.25,0.36,0.69
2023/6/18 09:03,UBIJFAH,,UBIJFAH0320,8.31,9.8,-2.28,0.67,0.83,1.01,1.01,1.31,2.07,2.84,0.23,0.59
,,,UBIJFAH0520,9.94,10.04,-2.09,0.94,-1.11,-1.11,1.19,0.86,2.01,2.51,0.31,0.65
,,,UBIJFAH0820,11.65,11.32,-2.41,1.29,-2.42,-3.01,-3.26,-0.88,-1.2,-3,0.41,0.63
,,,UBIJFAH1020,11.6,11.84,-2.99,1.11,-2.66,-2.85,-3.2,1.07,-1.5,-3.7,0.6,0.84
,,,UBIJFAH1201,11.47,18.3,-4.98,1.38,-1.91,-1.91,-2.24,3.21,3.38,-5.6,0.71,1.02
WSAWB20,NXC-QC-03B,031*30.3*TM900 *New (P1) -853*Wire-02*1091*T006T022*23061701,UBIJFAA0120,9.51,8.79,-0.57,0.61,1.43,1.43,-2.08,-1.51,-1.51,1.91,0.39,0.24
2023/6/17 17:53,UBIJFAA,,UBIJFAA0320,10.15,7.45,0.12,0.77,0.99,-1.32,-1.65,-1,-1,-1,0.22,0.26
,,,UBIJFAA0520,13.14,9.81,-0.13,0.92,-1.06,-1.64,-2.1,0.72,-1.16,-1.2,0.28,0.26
,,,UBIJFAA0720,13.07,9.03,-0.84,0.95,-1.05,-2.04,-2.46,-1.17,-2.84,-4.04,0.21,0.44
,,,UBIJFAA0920,14.39,10.2,0.55,1.12,-0.91,-1.56,-1.88,-1.64,-2.7,-4.21,0.45,0.42
,,,UBIJFAA1120,13.79,16.8,-2.01,1.54,-0.98,-1.64,-2.51,-3.06,-6.39,-8.08,0.57,0.96
