WSAW,PO/LOT,Comment,Wafer id,TTV,Warp,Entry Warp 10mm,Entry Warp 20mm,Entry Warp 30mm,Exit Warp 10mm,Exit Warp 20mm,Exit Warp 30mm,Wav ind,Entry wav,Exit wav,Bow
,,,PJH0BAD1208,10.61,7.01,0.69,-1.63,-1.72,3.08,3.08,3.08,0.72,0.21,0.63,-1.02
WSAWB20,TSM-QC-L8H,014*29.2*TM1050 *New (P1) -561*Wire-02*0109*T022T210*22122303,PGJYVAA0120,10,8.84,2.91,3.8,5.36,0.72,2.1,2.73,1.11,0.67,0.44,0.79
2022/12/24 10:39,PGJYVAA,,PGJYVAA0320,10.09,7.36,2.56,3.46,5.19,1.3,1.63,2.18,1.11,0.55,0.32,0.27
,,,PGJYVAA0520,10.58,7.11,2.13,3.06,4.54,2.18,2.81,3.22,1.07,0.69,0.37,-0.2
,,,PGJYVAA0720,10.85,7.54,1.48,1.95,3.47,2.49,2.49,2.49,1.02,0.7,0.55,-0.47
,,,PGJYVAA0920,10.52,7.43,0.86,1.17,2.29,2.64,2.64,2.64,1.09,0.52,0.6,-0.42
,,,PGJYVAA1108,10.91,8.26,1.74,2.16,3.71,3.69,3.92,3.92,1.25,0.59,0.86,-0.51
WSAWB20,TSM-QC-L8H,013*27.9*TM1050 *New (P1) -545*Wire-01*0102*T022T210*22122203,PJD14AB0120,10.74,11.87,3.81,4.89,7.31,1.09,3.18,3.75,1.79,1.61,0.61,4.8
2022/12/23 16:49,PJD14AB,,PJD14AB0220,10.43,11.31,3.7,4.37,6.88,2.03,3.78,4.81,1.78,1.63,0.65,4.56
,,,PJD14AB0420,11.08,11,2.9,3.75,6.77,2.01,3.36,4.21,1.85,1.79,0.5,4.41
,,,PJD14AB0620,11.66,10.41,2.61,3.36,5.97,2.47,2.83,3.44,1.8,1.7,0.36,4.09
,,,PJD14AB0820,10.91,10.15,1.97,2.61,4.41,2.18,2.65,3.1,1.87,1.74,0.35,3.82
,,,PJD14AB1020,11.16,10.22,3.17,3.68,6.42,4.68,5.24,5.74,1.89,1.76,0.44,3.08
WSAWB20,DEV-QC-PQK,011*30.2*TM1050 * A-992*Wire-02*0073*T031T034*22122102,PHG4FAD0120,8.15,8.28,2.55,3.04,3.3,-0.69,1.62,-2.07,0.83,0.69,0.76,0.44
2022/12/22 05:09,PHG4FAD,,PHG4FAD0320,8.09,7.95,1.94,2.38,2.55,2.39,2.39,2.39,0.88,0.61,0.88,0.19
,,,PHG4FAD0520,8.35,8.13,1.39,1.78,1.78,2.22,2.22,-2.34,1.02,0.68,1.02,0.11
,,,PHG4FAD0820,7.94,9.25,1.38,1.38,-1.55,1.99,1.99,-2.49,0.88,0.79,0.88,-0.43
,,,PHG4FAD1020,7.69,8.78,1.19,-1.35,-1.46,2.68,3.25,3.25,1.15,0.72,1.15,-0.64
,,,PHG4FAD1201,9.03,8.53,1.94,2.74,3.02,5.37,6.29,6.29,1.53,0.81,1.53,-0.8
WSAWB20,UMC-QC-59K,010*29.3*TM1050 * A-984*Wire-01*0072*T031T034*22122003,PGIWTAE0120,9.29,7.81,-1.12,-2.32,-2.57,-0.9,1.96,3.35,0.63,0.26,0.43,0.64
2022/12/21 11:31,PGIWTAE,,PGIWTAE0320,9.1,7.22,-1.47,-2.74,-2.98,1.74,2.14,4.28,0.68,0.2,0.24,-0.08
,,,PGIWTAE0520,8.98,7.17,-2.25,-3.02,-3.69,0.42,1.26,3.11,0.6,0.19,0.26,-0.48
,,,PGIWTAE0720,8.9,8.12,-2.45,-3.97,-4.5,0.76,1.21,3.01,0.61,0.25,0.25,-1.09
,,,PGIWTAE0920,8.96,8.61,-2.56,-5.16,-5.51,1.51,1.57,2.39,0.53,0.33,0.36,-1.05
,,,PGIWTAE1108,9.02,8.34,-2.16,-3.58,-3.94,3.62,4.22,4.89,0.54,0.24,0.3,-1.79
WSAWB20,CHT-QP-15B,009*30.2*TM1050 * A-971*Wire-03*0105*T201T017*22121903,PFEAPAA0120,8.29,7.58,1.47,2.01,2.01,-0.88,1.76,2.12,0.79,0.69,0.52,1.91
2022/12/20 16:47,PFEAPAA,,PFEAPAA0320,8.79,7.34,1.39,1.88,1.88,-0.84,1.52,2.61,0.74,0.69,0.29,1.42
,,,PFEAPAA0520,8.72,7.54,-1.75,-2.16,-2.16,1.42,1.53,2.63,0.86,0.61,0.31,1.35
,,,PFEAPAA0820,8.68,7.85,-2.2,-3.18,-3.27,-1.05,1.29,1.37,1.05,0.36,0.36,1.73
,,,PFEAPAA1020,8.79,6.57,-2.09,-3.59,-3.59,1.51,1.59,1.59,0.73,0.44,0.36,1.08
