WSAW,PO/LOT,Comment,Wafer id,TTV,Warp,Entry Warp 10mm,Entry Warp 20mm,Entry Warp 30mm,Exit Warp 10mm,Exit Warp 20mm,Exit Warp 30mm,Wav ind,Entry wav,Exit wav,Bow
,,,PIB6FAN1108,8.29,7.41,1.21,2.28,3.41,2.48,2.64,2.75,0.83,0.44,0.83,-1.97
WSAWB20,DEV-QC-56P,039*30.4*TM860 * A-717*Wire-03*0119*T217T224*22120302,PCILKAD0120,9.32,11.73,2.52,2.52,4.41,-1.08,4.14,5,0.71,0.6,0.34,2.46
2022/12/4 02:14,PCILKAD,,PCILKAD0320,14.07,13.41,1.89,2.77,4.2,1.03,2.72,3.75,1.74,0.5,0.24,2.42
,,,PCILKAD0520,11.96,9.67,1.73,1.81,2.84,1.18,2.09,2.93,0.89,0.47,0.61,1.72
,,,PCILKAD0720,11.25,12.02,1.29,-1.54,2.16,1.13,2.18,2.94,1.38,0.68,0.42,0.95
,,,PCILKAD0920,11.71,14.14,-0.64,-1.19,2.41,1.86,2.7,3.58,1.2,0.77,0.59,1.74
,,,PCILKAD1120,12.98,12.41,-1.56,-2.43,-2.43,4.99,5.85,7.61,1.11,0.83,0.66,0.34
WSAWB20,DEV-QC-56P,038*28.8*TM860 * A-706*Wire-02*0038*T217T224*22120203,PHG3ZAD0120,10.71,13.12,-1.95,-3.54,-4.66,-1.09,4.85,6.04,1.09,0.47,0.6,-2.87
2022/12/3 11:11,PHG3ZAD,,PHG3ZAD0320,11.95,13.97,-1.58,-3.27,-3.96,1.18,3.03,4.42,1.71,0.34,0.42,-3.65
,,,PHG3ZAD0520,11.66,11.93,-1.76,-3.06,-4.34,1.41,3.53,5.32,0.96,0.57,0.38,-2.94
,,,PHG3ZAD0720,15.86,12.82,-2.83,-4.37,-5.37,1.91,3.56,5.27,1,0.59,0.49,-3.83
,,,PHG3ZAD0920,13.16,13.6,-3.82,-5.49,-6.46,3.21,4.03,5.37,1.42,0.52,0.8,-5.47
,,,PHG3ZAD1108,12.14,18.6,-3.97,-5.91,-7.02,5.95,7.05,8.31,1.07,0.51,0.52,-6.59
WSAWB20,TSM-QC-H4N,035*29.5*TM860 *New (P1) -106*Wire-02*0016*T015T214*22113003,PIB6DAK0120,9.98,11.38,2.56,3.69,3.87,-2.07,-2.07,3.33,0.41,0.39,0.44,0.97
2022/12/1 14:06,PIB6DAK,,PIB6DAK0320,10.55,9.8,1.76,2.68,2.76,-1.15,1.95,3.5,0.49,0.48,0.27,0.3
,,,PIB6DAK0520,11.01,9.48,1.33,3.27,3.27,1.11,2.2,3.01,0.48,0.48,0.23,0.6
,,,PIB6DAK0720,11.11,9.05,-1.38,1.66,1.66,0.62,1.68,2.2,0.55,0.45,0.3,0.14
,,,PIB6DAK0920,11.09,7.58,-1.77,-1.8,-2.24,1.21,1.63,2.01,0.45,0.22,0.28,0.09
,,,PIB6DAK1108,11.49,8.71,-1.64,-2.61,-2.61,2.58,3.35,3.73,0.55,0.32,0.38,-1.06
WSAWB20,UMC-QC-L2B,033*28.7*TM860 * A-660*Wire-03*0192*T004T212*22112903,PGIWPAK0120,8.76,12.83,3.87,6.45,6.61,-1.42,2.94,4.81,0.56,0.55,0.56,0.31
2022/11/30 08:13,PGIWPAK,,PGIWPAK0320,10.14,12.65,3.14,5.2,5.36,1.59,2.34,4.8,0.87,0.57,0.42,-0.31
,,,PGIWPAK0520,9.9,13.19,2.49,4.28,4.6,1.61,2.44,4.23,0.53,0.53,0.26,0
,,,PGIWPAK0720,9.84,13.05,1.38,2.85,2.85,2.39,2.61,4.09,0.64,0.4,0.29,-0.35
,,,PGIWPAK0920,10.98,9.54,-1.52,1.72,1.9,2.43,2.73,3.72,0.68,0.37,0.35,-0.51
,,,PGIWPAK1108,10.91,12.55,-1.07,1.98,1.98,5.25,5.33,7.49,0.58,0.51,0.5,-2.27
WSAWB20,UMC-QC-L2B,034*30.4*TM860 * A-665*Wire-01*0081*T015T214*22113002,PFG10AD0120,10.08,8.68,1.3,1.87,2.59,-0.79,1.36,3.01,0.8,0.44,0.51,-1.72
2022/11/30 23:04,PFG10AD,,PFG10AD0320,9.79,7.77,1.58,1.58,2.03,1.3,1.61,2.9,0.72,0.31,0.32,-1.29
,,,PFG10AD0520,9.32,6.93,-1.19,1.6,2.53,1.76,1.99,2.88,0.82,0.5,0.29,-0.77
,,,PFG10AD0820,10.1,7.18,-2.1,-2.21,2.68,2.43,2.8,2.99,0.63,0.63,0.39,-1.29
,,,PFG10AD1020,9.67,7.88,-2.36,-3.13,-3.16,3.02,3.6,3.6,0.44,0.3,0.44,-1.31
,,,PFG10AD1201,11.4,11.51,-2.33,-3.01,-3.33,6.38,7.1,7.92,0.69,0.42,0.69,-2.86
WSAWB20,DEV-QC-56P,032*28.8*TM860 * A-652*Wire-02*0029*T004T212*22112901,PFD75AD0120,9.98,8.29,1.58,2.82,2.86,1.12,2.42,3.92,0.65,0.46,0.39,-0.84
2022/11/29 17:26,PFD75AD,,PFD75AD0320,9.74,7.96,0.78,2.32,2.32,0.95,1.53,3.1,0.68,0.46,0.67,-0.63
,,,PFD75AD0520,10.91,8.03,1.34,2.06,2.07,1.27,1.47,2.64,0.54,0.4,0.48,-1.23
,,,PFD75AD0720,10.52,8.59,-1.78,-1.78,-1.78,1.81,1.81,2.24,0.58,0.31,0.58,-1.36
,,,PFD75AD0920,10.17,7.64,-2.29,-2.29,-2.65,2.65,2.65,2.65,0.69,0.32,0.69,-2.17
,,,PFD75AD1108,10.98,10.7,-2.65,-2.77,-3.15,3.82,4.21,5.11,0.89,0.38,0.89,-3.21
WSAWB20,DEV-QC-57M,031*28.7*TM860 * A-999*Wire-01*0071*T004T212*22112802,PEGELAJ0120,9.87,11.8,1.15,1.79,1.98,-0.84,2.76,4.19,0.67,0.2,0.28,-0.9
2022/11/29 02:46,PEGELAJ,,PEGELAJ0320,10.09,11.43,1.42,1.42,1.49,1.46,1.91,3.6,0.68,0.24,0.22,-0.45
,,,PEGELAJ0520,9.16,10.61,-1.19,1.34,1.46,2.04,2.6,3.2,0.82,0.24,0.25,-0.53
,,,PEGELAJ0720,10.03,11.41,-1.83,-2.05,-2.55,2.08,2.64,2.98,0.5,0.32,0.26,-0.43
,,,PEGELAJ0920,10.41,11.61,-2.46,-2.92,-3.48,2.72,3.09,3.26,0.65,0.34,0.53,-0.96
,,,PEGELAJ1108,11.2,13.97,-2.99,-3.06,-3.65,5.23,6.07,6.78,0.58,0.35,0.62,-2.18
WSAWB20,TSM-QX-20K,030*33.9*TM860 * A-636*Wire-03*0024*T021T220*22112703,PIE9TAH0120,8.71,8.75,1.36,1.36,-1.94,-2.27,-2.27,2.27,0.74,0.36,0.33,-0.72
2022/11/28 12:01,PIE9TAH,,PIE9TAH0320,9.13,7.23,1.58,1.58,-2.55,1.16,1.58,2.46,0.57,0.4,0.31,-0.44
,,,PIE9TAH0620,8.58,5.9,0.81,-0.88,-2.33,1.28,1.28,-1.62,0.6,0.34,0.55,-0.74
,,,PIE9TAH0820,8.19,7.43,-1.29,-2.28,-3.33,1.02,-1.41,-2.11,0.55,0.25,0.55,-0.87
,,,PIE9TAH1120,8.09,5.71,-1.69,-2.28,-3.29,1.82,1.82,1.82,0.66,0.25,0.34,-0.11
,,,PIE9TAH1308,8.82,12.12,-1.74,-2.15,-3.28,5.9,7.39,7.39,0.97,0.58,0.97,-1.15
WSAWB20,UMS-QC-07K,028*31*TM860 * A-617*Wire-01*0021*T211T220*22112602,PHH8XAA0120,8.44,13.17,2.08,2.99,2.99,-1.37,1.99,3.61,0.85,0.42,0.74,0.41
2022/11/27 06:11,PHH8XAA,,PHH8XAA0320,8.83,12.81,1.33,1.33,-1.8,1.68,1.76,3.42,0.95,0.49,0.92,0.05
,,,PHH8XAA0520,8.75,10.89,1.38,2.07,2.07,1.59,1.95,3.42,0.86,0.61,0.81,0.04
,,,PHH8XAA0820,8.68,7.69,-1.51,-1.81,-2.52,0.84,0.95,1.18,0.92,0.47,0.78,0.42
,,,PHH8XAA1020,9.07,8.08,-1.44,1.78,1.78,1.35,1.63,2.35,0.73,0.57,0.5,0.39
,,,PHH8XAA1201,9.01,11.66,-1.57,2.71,2.94,5.31,5.78,7.01,1.01,0.88,0.9,-0.61
WSAWB20,TSM-QX-20K,029*28.2*TM860 * A-628*Wire-02*0007*T211T220*22112701,PHD54AH0120,7.93,10.71,1.23,-1.6,-2.48,-0.84,1.59,3.31,0.38,0.33,0.26,0.45
2022/11/27 20:30,PHD54AH,,PHD54AH0320,8.26,9.86,-1.64,-2.54,-3.84,-1.92,2.27,3.31,0.32,0.32,0.31,-0.24
,,,PHD54AH0520,7.76,8.37,-1.4,-1.97,-2.81,1.85,2.94,3.3,0.29,0.2,0.28,-0.55
,,,PHD54AH0720,8.06,10.79,-2.79,-4.21,-5.54,1.72,1.72,2.31,0.31,0.3,0.28,-0.72
,,,PHD54AH0920,7.89,10.83,-2.51,-3.77,-5.19,1.86,2.69,2.88,0.34,0.32,0.28,-1.09
,,,PHD54AH1101,8.54,13.59,-2.26,-3.66,-4.46,4.57,6.76,7.18,0.44,0.46,0.43,-1.67
WSAWB20,TSM-QX-S4F,027*27.1*TM1050 * A-608*Wire-03*0036*T219T018*22112502,PGAAFAK0120,8.32,8.14,3.38,4.75,4.75,-1.8,2.96,4.26,0.75,0.39,0.32,-0.26
2022/11/26 13:52,PGAAFAK,,PGAAFAK0220,8.16,8.02,3.21,3.72,3.72,-1.58,2.28,3.92,0.77,0.34,0.26,-0.43
,,,PGAAFAK0420,8.7,6.16,2.87,3.85,3.9,-1.51,2.42,3.57,0.75,0.33,0.32,-0.58
,,,PGAAFAK0620,8.97,5.76,2.56,2.69,2.93,1.02,2.06,3.14,0.73,0.31,0.28,-0.68
,,,PGAAFAK0820,9.13,6.78,1.95,3.13,3.38,1.61,2.47,3.36,0.83,0.53,0.3,-0.98
,,,PGAAFAK1008,9.75,7.7,1.02,2.2,2.28,3.62,4.77,5.48,0.81,0.57,0.55,-1.84
WSAWB20,TSM-QX-20K,026*29*TM860 * A-601*Wire-02*0032*T219T018*22112501,PID9WAE0120,9.66,13.23,-1.85,-2.22,-3.89,-1.78,2.27,3.77,0.89,0.36,0.37,1.85
2022/11/25 20:18,PID9WAE,,PID9WAE0320,12.09,12.96,-2.08,-3.3,-4.52,-1.53,-1.53,2.99,0.99,0.46,0.41,1.13
,,,PID9WAE0520,12.72,12.71,-2.42,-3.26,-4.86,0.99,1.51,2.39,1.49,0.42,0.26,-0.38
,,,PID9WAE0720,13.12,13.31,-3.63,-4.93,-6.43,2.2,2.62,3.59,1.58,0.44,0.56,-0.59
,,,PID9WAE0920,13.18,13.9,-4.5,-4.84,-6.23,1.49,2.26,2.26,1.06,0.6,0.5,-2.36
,,,PID9WAE1108,12.81,17.25,-4.79,-4.85,-6.35,5.95,6.92,7.62,1.35,0.57,0.54,-2.93
WSAWB20,DEV-QC-57M,025*29.1*TM860 * A-590*Wire-01*0110*T219T018*22112402,PAGGBAG0120,12.81,11.75,1.36,2.62,-2.8,-1.92,3.24,5.5,0.8,0.59,0.5,0.13
2022/11/25 05:37,PAGGBAG,,PAGGBAG0320,15.3,10.02,1.93,2.69,-2.94,-1.19,2.11,4.05,1.19,0.79,0.54,0.19
,,,PAGGBAG0520,14.94,9.53,1.03,1.9,-3.49,-0.99,2.28,4.4,1.08,0.71,0.4,0.68
,,,PAGGBAG0720,17.18,14.61,-1.18,-1.91,-3.42,0.96,1.89,3.51,2.79,0.69,0.37,-2.27
,,,PAGGBAG0920,16.11,14.07,-2.62,-2.73,-4.5,2.77,3.49,5.02,1.91,0.65,0.48,-4.53
,,,PAGGBAG1108,15.36,14.79,-2.63,-2.63,-3.89,6.04,7.28,8.81,1.08,0.59,0.45,-3.61
WSAWB20,GIE-QC-A6F,024*29.1*TM860 * A-582*Wire-03*0024*T025T210*22112303,PFF47AG0120,8.21,9.81,1.47,-1.83,-2.92,-1.85,-1.9,3,0.74,0.22,0.52,0.98
2022/11/24 14:09,PFF47AG,,PFF47AG0320,9.7,10.54,2.05,-2.73,-3.53,-1.34,-1.52,2.4,0.78,0.31,0.39,0.66
,,,PFF47AG0520,10.21,9.23,-0.99,-2.53,-3.18,-0.76,1.52,1.98,0.63,0.34,0.44,0.34
,,,PFF47AG0720,9.45,10.46,-2.09,-3.37,-4.57,0.24,0.81,0.95,0.66,0.22,0.36,0.27
,,,PFF47AG0920,9.3,9.3,-2.37,-3.05,-4.03,2.06,2.36,2.55,0.92,0.48,0.32,0.78
,,,PFF47AG1108,12.35,12.63,-2.8,-3.88,-4.68,5.56,6.94,7.19,0.78,0.54,0.48,-1.55
WSAWB20,UMC-QC-L2B,023*32.3*TM860 * A-573*Wire-02*0191*T025T210*22112302,PIB6CAE0120,9.7,9.28,1.76,2.54,2.54,-1.99,2.59,4.25,1.15,0.91,1.14,-1.79
2022/11/23 22:57,PIB6CAE,,PIB6CAE0320,11.23,8.88,1.36,-1.83,-1.83,-1.83,2.07,3.81,0.67,0.48,0.51,-2.18
,,,PIB6CAE0520,10.86,7.35,-0.88,-1.37,-1.37,-0.95,1.76,2.7,0.88,0.41,0.66,-2.11
,,,PIB6CAE0820,10.25,9.22,-2.35,-2.35,-2.47,0.77,1.85,2.56,0.82,0.53,0.74,-1.94
,,,PIB6CAE1020,10.33,7.73,-2.79,-2.79,-2.79,1.36,2.92,3.7,0.81,0.5,0.81,-2.26
,,,PIB6CAE1208,10.29,9.72,-1.87,-1.87,-1.87,2.78,4.51,5.11,1.12,0.34,1.12,-2.33
WSAWB20,UMS-QC-09F,022*32.3*TM860 * A-566*Wire-01*0060*T025T210*22112203,PFG08AD0120,8.81,11.48,2.02,2.22,2.22,-1.28,3.49,4.28,0.86,0.49,0.64,0.14
2022/11/23 08:23,PFG08AD,,PFG08AD0320,9.21,11.28,1.48,-1.71,-1.71,0.64,2.82,3.67,0.65,0.37,0.3,-0.04
,,,PFG08AD0520,8.66,10.53,-1.07,-1.67,-1.67,0.52,3.06,3.32,0.73,0.66,0.54,0.28
,,,PFG08AD0820,9.34,11.08,-1.58,-2.27,-2.27,1.53,3.99,4.07,0.76,0.55,0.58,-0.31
,,,PFG08AD1020,8.57,7.84,-2.37,-2.43,-2.46,2.48,4.69,4.89,0.64,0.56,0.56,-0.06
,,,PFG08AD1208,8.99,7.78,-1.07,-1.96,1.96,4.7,6.72,6.96,0.61,0.42,0.61,-0.84
WSAWB20,UMS-QC-09F,020*30.2*TM1050 * A-547*Wire-02*0103*T002T008*22112102,PHH8TAD0120,8.13,9.27,2.78,4.95,5.09,-1.88,2.84,4.62,1.39,1.14,0.64,-0.68
2022/11/22 01:56,PHH8TAD,,PHH8TAD0320,8.48,8.22,2.34,3.68,3.93,-1.64,2.21,3.86,1.18,0.93,0.43,-1.13
,,,PHH8TAD0520,8.25,7.67,1.53,3.2,3.75,-0.95,1.94,3.55,1.13,1.02,0.36,-1.32
,,,PHH8TAD0820,8.4,6.53,-1,2.61,2.69,0.74,1.79,2.74,1.32,0.95,0.42,-1.34
,,,PHH8TAD1020,8.64,5.82,-0.99,2.87,3.17,1.14,1.76,3.28,1.23,0.92,0.39,-1.36
,,,PHH8TAD1201,9.2,7.49,-1.2,2.73,3.45,6.23,6.48,6.48,1.21,0.83,0.8,-2.33
WSAWB20,UMS-QC-09F,021*32.9*TM1050 * A-557*Wire-03*0009*T002T008*22112201,PFG08AA0120,9.68,10.92,3.27,3.29,3.29,-2.07,-2.07,-2.07,1.09,0.73,0.42,-0.18
2022/11/22 16:52,PFG08AA,,PFG08AA0320,8.39,11.22,2.95,3.09,3.09,-1.51,-1.51,1.65,0.72,0.47,0.31,-0.4
,,,PFG08AA0520,8.36,10.18,2.3,2.3,2.3,-0.96,-0.96,1.52,0.74,0.49,0.26,-0.52
,,,PFG08AA0820,9.24,10.6,-0.91,-1.26,-2.96,1.53,1.53,1.8,0.8,0.41,0.28,-0.91
,,,PFG08AA1020,9.65,8.67,-1.03,-2.22,-3.28,2.19,2.19,2.22,0.89,0.24,0.32,-0.97
,,,PFG08AA1220,10.21,9.89,1.11,1.43,-2,6.86,7.65,7.65,0.7,0.45,0.7,-2.02
WSAWB20,UMC-QC-59K,019*26.4*TM1050 * A-537*Wire-01*0102*T002T008*22112002,PIB5XAE0120,8.41,10.63,1.77,1.77,3.53,-1.32,3.03,3.53,1.01,1.01,0.47,0.03
2022/11/21 08:10,PIB5XAE,,PIB5XAE0220,8.07,9.17,1.86,-2.12,3.48,-1.38,2.6,3.21,0.98,0.97,0.35,-0.51
,,,PIB5XAE0420,8.52,8.6,2.01,-2.35,3.65,-1.59,2.45,2.95,0.99,0.99,0.39,-0.6
,,,PIB5XAE0620,8.25,7.17,-1.8,-2.5,3.25,0.91,1.63,1.63,0.89,0.85,0.4,-0.84
,,,PIB5XAE0820,8.09,6.27,-1.56,-2.5,3.67,-1.35,1.68,1.68,0.96,0.96,0.4,-0.79
,,,PIB5XAE1008,8.51,7.75,-1.84,-2.91,3.89,2.54,3.77,3.77,1.12,1.12,0.61,-1.71
WSAWB20,TSM-QC-H4N,018*30.1*TM1050 *New (P1) -868*Wire-03*0066*T030T207*22111903,PAGFZAH0120,10.61,11.33,1.77,-3.28,-3.28,0.62,2.88,3.62,1.09,0.3,1.09,1.35
2022/11/20 13:54,PAGFZAH,,PAGFZAH0320,10.66,11.66,-1.84,-2.92,-4.13,-1.59,-1.59,2.54,1.06,0.28,0.83,1.01
,,,PAGFZAH0520,10.88,10.77,-0.95,-2.96,-2.96,-0.71,-0.91,2.05,1.01,0.35,0.9,0.46
,,,PAGFZAH0720,11.25,11.12,-1.01,-3.4,-3.4,-0.71,-1.13,1.23,1.07,0.38,0.92,0.28
,,,PAGFZAH0920,11.26,11.27,-1.7,-3.64,-3.64,-1.02,-1.32,-1.32,1.12,0.41,0.95,0.19
,,,PAGFZAH1120,12.42,9.41,-1.28,-3.71,-3.71,2.98,3.03,-3.1,0.86,0.74,0.82,-0.66
WSAWB20,TSM-QC-L8H,016*30.2*TM1050 *New (P1) -839*Wire-01*0002*T030T207*22111802,PJF3KAA0120,10.17,8.3,1.81,3.16,3.16,-2.02,-2.02,-2.02,0.82,0.82,0.42,-0.67
2022/11/19 02:21,PJF3KAA,,PJF3KAA0320,10.58,8.54,1.59,2.93,3.01,-1.23,-1.56,-1.56,0.8,0.8,0.5,-1.05
,,,PJF3KAA0520,10.32,7.9,1.17,3.12,3.12,-0.81,-1.12,1.38,0.86,0.86,0.74,-0.95
,,,PJF3KAA0720,10.86,8.53,-1.64,2.27,2.27,-0.54,-1.09,-1.2,0.86,0.86,0.5,-1.64
,,,PJF3KAA0920,10.93,8.04,-1.62,2.59,2.59,-1.14,-1.9,-1.98,0.8,0.83,0.33,-1.44
,,,PJF3KAA1120,11.23,8.06,1.01,2.59,3.57,3.49,-3.99,-5.11,1.13,0.49,1.13,-2.25
WSAWB20,TSM-QC-H4N,015*30.6*TM1050 *New (P1) -824*Wire-03*0119*T202T203*22111702,PFF45AD0120,9.84,10.42,2.44,3.93,3.93,0.81,2.21,3.38,0.68,0.68,0.4,-0.46
2022/11/18 08:19,PFF45AD,,PFF45AD0320,10.9,7.86,1.99,3.43,3.56,-1.5,-1.5,2.1,0.93,0.93,0.28,-0.84
,,,PFF45AD0520,12.34,6.93,1.87,-4.23,4.54,1.23,-1.55,1.6,1.12,1.12,0.22,-0.89
,,,PFF45AD0820,11.53,7.73,-3.44,-5.25,-5.25,-3.2,-3.65,-3.65,1.23,1.23,0.48,-1.29
,,,PFF45AD1020,12.11,7.5,-3.99,-5.26,-5.26,1.44,-2.27,-2.27,1.35,1.35,0.31,-1.44
,,,PFF45AD1208,12,8.36,-2.79,-4.97,5.45,4.51,5.05,5.05,1.17,1.17,0.99,-2.18
WSAWB20,TSM-QC-H4N,014*30.1*TM1050 *New (P1) -809*Wire-02*0024*T202T203*22111603,PGIWLAH0120,10.02,10.5,2.07,3.59,3.59,1.47,4.42,4.9,0.86,0.48,0.86,0.91
2022/11/17 14:09,PGIWLAH,,PGIWLAH0320,9.95,9.6,2.42,3.16,3.16,1.03,3.36,3.67,0.74,0.37,0.57,0.62
,,,PGIWLAH0520,10.26,8.9,1.7,2.38,2.61,0.5,2.69,2.69,0.68,0.44,0.54,0.66
,,,PGIWLAH0720,10.47,9.49,0.99,1.64,1.89,0.65,1.91,1.91,0.67,0.5,0.47,0.27
,,,PGIWLAH0920,10.11,9.46,1.14,1.7,1.94,1.11,1.92,2.25,0.78,0.57,0.41,0.07
,,,PGIWLAH1108,10.51,9.13,-1.28,-1.54,2.13,3.03,3.85,3.85,0.84,0.56,0.41,-0.72
WSAWB20,TSM-QC-Y5B,012*28.5*TM1050 *New (P1) -787*Wire-03*0108*T208T213*22111202,PGJYKAE0120,9.84,8.29,1.51,3.04,3.49,1.44,3.74,3.87,0.73,0.45,0.73,-0.42
2022/11/16 06:02,PGJYKAE,,PGJYKAE0320,9.71,7.89,1.34,2.94,2.94,1.75,2.57,3.5,0.49,0.35,0.25,-0.14
,,,PGJYKAE0520,9.86,7.19,1.12,2.35,2.49,2.7,3.17,4.32,0.45,0.4,0.3,-0.48
,,,PGJYKAE0720,9.48,8.07,-0.86,1.51,1.51,3.8,4.47,4.84,0.45,0.28,0.34,-0.84
,,,PGJYKAE0920,9.14,6.17,-1.42,2.23,2.76,3.64,3.81,4.18,0.5,0.41,0.49,-0.69
,,,PGJYKAE1108,9.46,9.04,1.27,2.85,3.66,6.07,6.84,7.18,0.5,0.42,0.48,-1.44
WSAWB20,TSM-QC-H4N,013*30.7*TM1050 *New (P1) -798*Wire-01*0009*T202T203*22111601,PFD73AD0120,10.47,8.22,3.01,3.44,3.44,0.96,2.48,2.86,0.83,0.32,0.42,-0.07
2022/11/16 20:25,PFD73AD,,PFD73AD0320,10.65,6.51,2.76,2.78,2.78,-1.57,-1.9,-1.9,0.92,0.49,0.25,0.19
,,,PFD73AD0520,10.03,5.66,2.03,2.57,2.57,-1.35,-1.81,-2.23,0.84,0.37,0.25,-0.97
,,,PFD73AD0820,10.78,7.25,1.03,1.38,1.38,-2.03,-2.68,-2.95,0.81,0.3,0.23,-0.53
,,,PFD73AD1020,10.65,6.83,1.09,1.13,1.13,-1.34,-2.78,-2.92,0.84,0.34,0.29,-0.77
,,,PFD73AD1201,11.15,8.63,1.49,2.35,2.35,2.95,3.63,-4.79,0.97,0.6,0.97,-1.32
WSAWB20,TSM-QC-L8H,011*27.9*TM1050 *New (P1) -770*Wire-02*0034*T208T213*22111402,PGAACAA0120,9.56,8.33,2.22,3.33,3.53,0.93,3.23,3.64,0.64,0.37,0.64,-2.24
2022/11/15 08:42,PGAACAA,,PGAACAA0320,9.76,7,1.72,2.96,2.96,1.57,1.93,3.03,0.41,0.28,0.32,-1.63
,,,PGAACAA0520,9.44,6.53,1.18,1.84,1.92,1.94,2.27,2.62,0.44,0.25,0.19,-1.63
,,,PGAACAA0720,9.37,7.01,1.04,1.93,1.93,1.46,1.46,1.51,0.54,0.22,0.17,-2.21
,,,PGAACAA0920,8.72,5.82,0.79,2.13,2.76,2.58,2.89,2.89,0.48,0.26,0.27,-1.77
,,,PGAACAA1101,8.95,7.82,1.21,2.27,2.97,3.99,4.42,4.42,0.51,0.38,0.42,-2.75
WSAWB20,TSM-QC-H4N,010*31*TM1050 *New (P1) -755*Wire-01*0073*T208T213*22111302,PFD73AH0120,9.91,6.56,3.07,3.91,4.26,-0.97,2.37,2.37,0.49,0.37,0.5,-2.03
2022/11/14 13:58,PFD73AH,,PFD73AH0320,9.25,3.99,2.74,3.73,3.86,1.14,-1.44,1.61,0.36,0.31,0.23,-1.06
,,,PFD73AH0520,9.67,5.14,2.04,3.2,3.33,1.64,1.64,2.02,0.37,0.22,0.28,-1.18
,,,PFD73AH0820,9.17,5.4,1.53,1.94,2.55,1.6,1.83,1.83,0.39,0.17,0.27,-1.65
,,,PFD73AH1020,9.55,5.56,1.79,2.76,2.9,2.14,2.47,2.47,0.39,0.21,0.31,-1.95
,,,PFD73AH1208,9.03,6.29,3.15,4.57,5.12,6.24,6.97,6.97,0.87,0.35,0.89,-1.95
WSAWB20,DEV-QC-60H,009*28*TM1050 *New (P1) -740*Wire-03*0101*T005T006*22111301,PAGFYAA0120,10.6,6.19,2.58,3.31,3.34,0.94,1.93,2.26,0.66,0.66,0.38,-1.13
2022/11/13 19:48,PAGFYAA,,PAGFYAA0320,10.47,5.28,1.85,2.78,3.08,0.96,1.35,1.44,0.46,0.38,0.21,-0.98
,,,PAGFYAA0520,10.46,4.75,1.39,2.45,2.47,1.83,1.83,2.06,0.54,0.33,0.28,-1.17
,,,PAGFYAA0720,10.71,5.6,0.82,1.68,1.7,1.78,2.33,2.33,0.55,0.35,0.32,-1.41
,,,PAGFYAA0920,10.7,5.67,1.1,1.62,1.69,2.23,2.26,2.26,0.63,0.29,0.5,-2.1
,,,PAGFYAA1101,10.41,6.9,1.09,1.9,2.24,3.75,4.52,4.52,0.62,0.37,0.52,-2.6
WSAWB20,TSM-QX-20K,007*28.5*TM1050 *New (P1) -708*Wire-01*0101*T005T006*22111102,PGJYKAK0120,10.3,7.99,1.6,1.6,-1.88,-1.72,2.48,2.62,0.58,0.4,0.58,-1.51
2022/11/12 08:35,PGJYKAK,,PGJYKAK0320,10.5,7.04,-0.4,-1.29,1.82,-1.05,-1.11,1.75,0.35,0.26,0.23,-1.55
,,,PGJYKAK0520,10.93,5.51,0.36,-1.07,1.62,-0.84,-0.84,1.12,0.46,0.25,0.11,-1.54
,,,PGJYKAK0720,10.76,6.25,-0.86,-1.53,1.64,0.55,-0.96,-0.96,0.39,0.33,0.18,-2.15
,,,PGJYKAK0920,10.78,5.09,0.6,1.34,2.15,1.56,1.56,1.56,0.41,0.32,0.22,-1.74
,,,PGJYKAK1108,10.91,7.96,1.4,1.87,2.21,4.72,5.19,5.19,0.6,0.47,0.6,-3.19
WSAWB20,TSM-QX-20K,006*27.5*TM1050 *New (P1) -694*Wire-03*0034*T204T012*22111003,PJC6CAE0120,9.25,5.83,3.38,4.54,4.54,1.64,3.07,3.19,0.59,0.47,0.45,-0.37
2022/11/11 14:45,PJC6CAE,,PJC6CAE0320,9.68,5.84,2.94,4.95,4.95,0.98,1.76,1.91,0.6,0.44,0.23,-0.29
,,,PJC6CAE0520,9.61,5.08,2.42,4.52,4.57,1.44,1.44,1.44,0.55,0.39,0.2,-0.65
,,,PJC6CAE0720,9.2,5.92,2.4,4.31,4.35,1.31,2.34,2.34,0.59,0.44,0.35,-0.86
,,,PJC6CAE0920,9.66,5.25,2.82,4.36,4.44,1.47,1.79,1.79,0.58,0.43,0.4,-0.98
,,,PJC6CAE1101,11.05,6.73,3.71,5.32,5.78,4.95,4.95,4.95,0.75,0.55,0.75,-1.99
WSAWB20,GBS-QX-A5E,005*29.6*TM1050 *New (P1) -679*Wire-02*0016*T204T012*22111001,PHJF1AG0120,10.34,9.37,2.58,3.94,3.94,-0.59,2.9,3.31,0.51,0.34,0.51,1.19
2022/11/10 21:00,PHJF1AG,,PHJF1AG0320,10.24,9.28,1.89,2.74,2.74,1.13,2.48,3.35,0.45,0.45,0.3,0.08
,,,PHJF1AG0520,10.17,8.51,1.12,2.21,2.3,1.35,2.63,3.32,0.45,0.24,0.25,0.42
,,,PHJF1AG0720,9.99,9.95,1.01,1.95,1.95,1.15,1.74,2.25,0.43,0.23,0.21,0.3
,,,PHJF1AG0920,10.27,8.74,1.42,2.41,2.41,1.35,1.9,2.17,0.51,0.19,0.27,0.69
,,,PHJF1AG1120,11.21,9.64,1.56,2.5,2.5,4.04,4.65,4.81,0.55,0.35,0.5,-0.91
