WSAW,PO/LOT,Comment,Wafer id,TTV,Warp,Bow,Wav ind,Entry Warp 10mm,Entry Warp 20mm,Entry Warp 30mm,Exit Warp 10mm,Exit Warp 20mm,Exit Warp 30mm,Entry wav,Exit wav
WSAWB20,TSM-QC-N6F,042*29.1*TM860 *New (P1) -010*Wire-02*0120*22062801,PJD8AAA0120,9.28,8.83,-1.06,0.67,2.38,2.38,-4.03,-1.4,1.8,3.38,0.41,0.67
2022/6/28 17:20,PJD8AAA,,PJD8AAA0320,8.77,6.74,-1.23,0.77,2.53,2.53,-3.2,0.88,-1.53,-2.24,0.43,0.77
,,,PJD8AAA0520,8.11,5.39,-1.47,0.66,2.51,2.51,-2.53,1.89,1.89,1.89,0.42,0.66
,,,PJD8AAA0720,8.42,5.39,-1.28,0.82,1.6,1.6,-2.13,-1.92,-2.75,-3.9,0.52,0.82
,,,PJD8AAA0920,7.99,4.68,-1.27,0.79,0.83,-1.76,-1.88,1.46,2.02,-2.05,0.36,0.79
,,,PJD8AAA1108,6.87,5.71,-1.46,0.57,1.36,-1.42,-1.88,2.71,3.98,3.98,0.34,0.52
WSAWB20,TSM-QC-F9S,041*24*TM860 *New (P1) -997*Wire-01*0048*22062702,PCIJDAI0120,8.9,8.01,-0.13,0.63,1.07,-4.5,-6.13,0.69,1.84,2.43,0.62,0.59
2022/6/28 02:28,PCIJDAI,,PCIJDAI0220,8.9,6.59,0.18,0.6,-1.13,-4.1,-5.82,-0.67,-0.67,0.95,0.6,0.31
,,,PCIJDAI0420,8.17,6.25,0.06,0.63,-1.36,-2.96,-4.55,0.54,0.85,1.98,0.57,0.5
,,,PCIJDAI0620,7.82,6.63,-0.1,0.86,-2.44,-3.63,-5.66,0.75,0.84,1.32,0.85,0.37
,,,PCIJDAI0820,7.64,9.39,0.25,0.91,-2.91,-4.47,-6.43,2.73,2.89,3.78,0.84,0.34
,,,PCIJDAI0908,7.78,7.75,-0.29,0.73,-1.58,-4.31,-5.56,2.89,3.3,4.33,0.73,0.26
WSAWB20,TSM-QC-N6F,040*29.3*TM860 *New (P1) -986*Wire-03*0114*22062602,PJD7PAA0120,10.26,6.39,-0.61,0.54,1.98,2.66,2.66,-1.82,-1.82,2.62,0.47,0.53
2022/6/27 11:31,PJD7PAA,,PJD7PAA0320,10.26,5.97,-0.71,0.75,2.41,3.64,3.64,1.54,1.54,1.92,0.75,0.23
,,,PJD7PAA0520,10.06,5.38,-0.79,0.47,2.12,3.35,3.35,1.59,1.59,2.02,0.47,0.27
,,,PJD7PAA0720,10.46,5.57,-1.59,0.46,2.19,3.01,3.22,1.61,1.61,1.61,0.46,0.37
,,,PJD7PAA0920,10.66,5.64,-1.22,0.45,1.34,2.61,2.98,1.78,1.78,1.87,0.38,0.4
,,,PJD7PAA1101,10.91,4.76,-1.64,0.5,1.48,2.61,2.66,1.35,2.71,2.8,0.34,0.26
WSAWB20,TSM-QC-F9R,038*26.3*TM860 *New (P1) -958*Wire-01*0009*22062502,PIB4WAD0120,9.71,6.25,-0.32,0.55,1.7,1.7,-1.96,0.91,2.49,2.69,0.28,0.55
2022/6/26 05:34,PIB4WAD,,PIB4WAD0220,9.84,5.91,-0.69,0.57,2.33,2.33,2.33,0.93,2.2,2.78,0.34,0.57
,,,PIB4WAD0420,9.86,5.72,-1.13,0.48,1.72,1.72,-1.88,1.26,1.74,2.55,0.28,0.32
,,,PIB4WAD0620,10.33,5.51,-0.99,0.4,1.41,1.87,1.87,1.59,1.66,2.5,0.25,0.35
,,,PIB4WAD0820,9.96,5.44,-1.24,0.48,1.53,1.59,-1.62,0.79,0.95,1.5,0.38,0.37
,,,PIB4WAD1008,10.54,5.38,-1.77,0.47,1.79,2.27,2.27,1.19,2.24,2.93,0.44,0.44
WSAWB20,TSM-QC-F9R,039*24.7*TM860 *New (P1) -971*Wire-02*0101*22062601,PIB4SAD0120,10.11,8.6,-0.08,0.55,2.41,3.07,3.07,-0.59,2.29,2.92,0.55,0.45
2022/6/26 20:17,PIB4SAD,,PIB4SAD0220,9.94,7.58,-0.58,0.56,2.41,3.36,3.47,0.5,1.51,2.12,0.56,0.32
,,,PIB4SAD0420,10.15,6.05,-0.79,0.47,2.48,2.93,3.45,0.79,0.93,1.63,0.47,0.31
,,,PIB4SAD0620,10.23,7.43,-1.15,0.51,2.21,2.81,3.33,1.11,1.3,2.25,0.51,0.35
,,,PIB4SAD0820,9.88,6.73,-1.11,0.38,1.46,2.11,2.74,2.14,2.18,2.82,0.34,0.32
,,,PIB4SAD1001,11.72,11.2,-1.73,0.48,1.78,3.7,3.95,6.19,7.51,8.6,0.42,0.57
WSAWB20,TSM-QC-N6F,036*29.3*TM860 *New (P1) -946*Wire-03*0201*22062402,PJC3SAA0120,10.09,6.85,0.21,0.51,1.94,1.98,1.98,-1.27,3,4.3,0.32,0.51
2022/6/25 14:30,PJC3SAA,,PJC3SAA0320,10.18,4.86,0.04,0.48,1.9,2.23,2.23,0.94,2.06,2.51,0.25,0.43
,,,PJC3SAA0520,10.49,4.34,-0.4,0.38,1.8,1.88,2.02,1.49,1.73,2.29,0.27,0.29
,,,PJC3SAA0720,10.59,3.98,-0.24,0.44,0.75,1.63,1.63,0.9,1.67,1.67,0.2,0.28
,,,PJC3SAA0920,10.58,5.62,0.16,0.29,-0.39,0.81,0.81,1.07,2.59,3.09,0.19,0.29
,,,PJC3SAA1108,11.41,5.53,-0.71,0.6,-0.79,1.01,1.14,2.54,4.72,4.72,0.33,0.6
WSAWB20,TSM-QC-L8H,035*30.5*TM860 *New (P1) -922*Wire-01*0203*22062302,PJG0WAA0120,10.21,7.9,-1.02,0.72,3.37,3.82,3.82,1.57,4.06,4.15,0.65,0.72
2022/6/24 08:36,PJG0WAA,,PJG0WAA0320,10.29,6.13,-0.82,0.59,3.22,3.22,3.22,2.22,3.12,3.81,0.51,0.59
,,,PJG0WAA0520,10.21,5.28,-0.91,0.56,3.03,3.03,3.03,2.23,2.72,2.82,0.56,0.37
,,,PJG0WAA0820,10.78,4.52,-0.97,0.59,1.18,1.18,1.18,2.06,2.38,2.66,0.54,0.39
,,,PJG0WAA1020,11.02,5.94,-0.68,0.57,1.48,1.48,1.48,2.19,3.12,3.81,0.55,0.41
,,,PJG0WAA1201,10.74,8.04,-1.62,0.56,2.3,2.77,3.35,4.62,6.71,7.41,0.53,0.56
WSAWB20,TSM-QC-L8H,036*30.4*TM860 *New (P1) -935*Wire-02*0108*22062402,PHD18AA0120,10.54,8.02,-1.9,0.73,2.78,3.11,3.11,-1.54,3.12,3.64,0.36,0.73
2022/6/24 23:22,PHD18AA,,PHD18AA0320,10.53,6.34,-1.84,0.47,3.03,3.32,3.56,1.78,2.46,3.08,0.47,0.47
,,,PHD18AA0520,10.44,5.52,-1.69,0.4,3.23,3.41,4.26,2.09,2.22,2.69,0.26,0.22
,,,PHD18AA0720,10.13,5.49,-1.58,0.38,2.24,2.24,3.34,2.09,2.41,2.41,0.27,0.38
,,,PHD18AA0920,9.84,5.6,-1.88,0.46,1.86,1.86,2.36,2.82,2.99,2.99,0.34,0.46
,,,PHD18AA1120,11.03,7.45,-1.87,0.55,2.02,2.41,2.56,3.39,5.12,5.9,0.35,0.55
WSAWB20,TSM-QC-L8H,034*30.4*TM860 *New (P1) -912*Wire-03*0112*22062301,PGJXAAA0120,10.17,8.58,0.09,0.54,4.06,4.06,4.06,1.39,1.65,2.6,0.48,0.54
2022/6/23 17:05,PGJXAAA,,PGJXAAA0320,10.15,7.29,0.41,0.39,3.18,3.18,3.18,1.37,1.55,1.55,0.33,0.38
,,,PGJXAAA0520,10.26,7.19,0.21,0.36,3.06,3.06,3.06,1.43,1.78,1.78,0.41,0.3
,,,PGJXAAA0720,9.67,6.84,0.52,0.41,1.97,2.01,2.01,1.34,1.34,1.34,0.41,0.29
,,,PGJXAAA0920,10.17,6.06,0.43,0.58,1.08,1.24,1.24,1.34,1.93,1.93,0.41,0.4
,,,PGJXAAA1120,9.81,10.7,0.42,0.59,1.33,1.74,-2.17,3.75,5.78,5.98,0.42,0.53
WSAWB20,DEV-QC-56P,033*32*TM860 *New (P1) -900*Wire-02*0059*22062202,PGA69AE0120,9.31,9.59,-0.62,0.56,2.07,-2.16,-3.39,1.25,1.66,3.41,0.34,0.56
2022/6/23 02:37,PGA69AE,,PGA69AE0320,10.14,8.03,-0.67,0.55,2.17,2.17,-2.95,1.66,1.94,2.39,0.54,0.55
,,,PGA69AE0520,10.04,7.22,-0.53,0.51,2.27,2.27,-2.99,1.91,1.94,2,0.43,0.38
,,,PGA69AE0820,9.65,6.8,-0.49,0.53,1.99,-2.37,-2.7,1.27,1.28,1.28,0.53,0.44
,,,PGA69AE1020,9.77,7.33,-0.19,0.54,0.95,-2.47,-3.29,1.07,1.3,1.46,0.48,0.52
,,,PGA69AE1208,9.87,9.38,-0.41,0.82,0.95,-1.57,-2.62,3.62,4.98,5.45,0.42,0.82
WSAWB20,DEV-QC-57M,032*32.1*TM860 *New (P1) -892*Wire-01*0114*22062102,PHIXQAE0120,10.3,7.19,-0.1,0.79,2.8,2.8,2.8,1.9,3.57,4.53,0.4,0.79
2022/6/22 11:14,PHIXQAE,,PHIXQAE0320,9.48,5.64,-0.4,0.42,2.42,2.42,2.42,1.9,2.73,2.74,0.3,0.37
,,,PHIXQAE0520,9.12,4.17,-0.24,0.39,2.68,2.68,2.68,2.52,2.98,3.13,0.3,0.37
,,,PHIXQAE0720,9.44,4.41,-0.25,0.37,1.66,1.66,1.66,1.04,1.34,1.34,0.18,0.19
,,,PHIXQAE1020,8.82,4.89,0.32,0.34,1.22,1.59,1.78,1.49,1.74,1.83,0.15,0.28
,,,PHIXQAE1220,10.22,9.49,-0.53,0.81,2.2,4.08,4.82,7.16,9.09,9.92,0.7,0.81
