WSAW,PO/LOT,Comment,Wafer id,TTV,Warp,Bow,Wav ind,Entry Warp 10mm,Entry Warp 20mm,Entry Warp 30mm,Exit Warp 10mm,Exit Warp 20mm,Exit Warp 30mm,Entry wav,Exit wav
,,,PGIVAAD0820,8.65,6.72,-0.57,0.74,-1.35,-1.49,-2.88,2.3,2.88,2.92,0.25,0.74
,,,PGIVAAD1001,9.2,7.77,-0.76,0.84,-0.67,-0.67,-1.84,4.4,5.6,5.6,0.34,0.84
WSAWB20,TSM-QC-F9R,020*26.6*TM860 *New (P1) -744*Wire-01*0203*22061402,PIFW4AF0120,9.57,12.65,-2.67,1.03,1.38,-3.34,-5.89,1.58,3.86,4.11,0.59,1.03
2022/6/14 23:01,PIFW4AF,,PIFW4AF0220,10.01,11.73,-2.73,0.87,1.51,-3.56,-5.68,1.66,3.83,4.07,0.55,0.55
,,,PIFW4AF0420,9.53,11.6,-2.73,0.44,1.06,-2.63,-4.54,0.96,2.02,2.2,0.43,0.4
,,,PIFW4AF0620,9.81,11.58,-2.26,0.57,-1.23,-2.68,-4.47,0.73,1.87,1.94,0.57,0.42
,,,PIFW4AF0820,9.26,9.89,-1.98,0.56,-1.11,-2.65,-4.35,1.12,2.15,2.15,0.51,0.41
,,,PIFW4AF1020,10.34,7.81,-1.91,0.59,1.62,1.76,-1.77,4.65,5.82,5.82,0.55,0.6
WSAWB20,TSM-QC-F9R,019*25.6*TM860 *New (P1) -731*Wire-03*0108*22061302,PIFW3AF0120,10.08,6.89,-0.53,0.52,1.88,1.88,-2.66,-0.89,1.67,1.78,0.27,0.52
2022/6/14 08:21,PIFW3AF,,PIFW3AF0220,9.43,6.3,-1.05,0.55,1.51,1.51,-1.92,0.77,1.84,2.85,0.33,0.55
,,,PIFW3AF0420,9.42,5.56,-1.1,0.37,0.88,1.2,-1.44,1.01,1.66,2.25,0.27,0.34
,,,PIFW3AF0620,9.89,5.93,-0.74,0.35,-1.41,-1.41,-1.41,1.63,2.27,2.79,0.29,0.27
,,,PIFW3AF0820,9.55,5.29,-0.91,0.5,-0.78,1.19,-1.34,2.46,2.9,3,0.23,0.5
,,,PIFW3AF1001,9.75,6.15,-1.46,0.63,0.86,1.13,1.13,3,3.56,3.56,0.25,0.63
WSAWB20,TSM-QC-L8H,018*29.2*TM860 *New (P1) -719*Wire-02*0093*22061301,PJD8QAD0120,10.03,11.01,-1.59,0.52,0.99,-3.45,-5.44,-1.19,1.96,2.21,0.38,0.52
2022/6/13 17:11,PJD8QAD,,PJD8QAD0320,10.56,11.8,-2.25,0.47,0.87,-3.23,-5.11,1.26,1.7,2.06,0.42,0.36
,,,PJD8QAD0520,10.02,10.55,-2.02,0.48,-0.87,-2.94,-4.29,1.12,1.73,2.06,0.33,0.43
,,,PJD8QAD0720,9.88,9.71,-1.54,0.38,-1.02,-3.17,-4.93,1.17,1.17,-1.26,0.25,0.36
,,,PJD8QAD0920,10.02,9.12,-1.45,0.5,-1.44,-3.32,-4.76,1.38,1.38,-2.05,0.27,0.5
,,,PJD8QAD1108,10.53,9.52,-1.95,0.67,-1.2,-3.16,-4.54,3.49,3.72,3.72,0.37,0.67
WSAWB20,DEV-QC-56P,017*31.3*TM860 *New (P1) -708*Wire-01*0003*22061202,PGA68AA0120,10.15,8.17,-0.97,0.52,1.08,-3.03,-3.93,0.93,0.93,1.28,0.34,0.52
2022/6/13 02:12,PGA68AA,,PGA68AA0320,12.28,7.35,-1.25,0.36,-0.54,-1.99,-2.89,1.87,2.04,2.46,0.21,0.32
,,,PGA68AA0520,10.38,5.8,-1.2,0.31,-0.96,-1.94,-2.66,2.63,2.63,2.63,0.2,0.23
,,,PGA68AA0820,10.58,4.7,-1.26,0.36,-0.79,-1.71,-2.07,1.99,1.99,1.99,0.17,0.31
,,,PGA68AA1020,10.55,4.75,-0.73,0.41,-0.84,-2.02,-2.02,1.66,1.66,1.66,0.22,0.41
,,,PGA68AA1208,10.95,6.51,-1.25,0.56,1.31,1.82,1.96,4.89,4.99,4.99,0.29,0.59
WSAWB20,INL-QA-SAK,016*30.2*TM860 *New (P1) -695*Wire-03*0032*22061102,PIHK2AD0120,9.12,8.8,-0.88,0.67,1.33,-3.79,-5.13,-1.09,1.93,2.05,0.49,0.67
2022/6/12 11:35,PIHK2AD,,PIHK2AD0320,9.19,7.87,-1.75,0.42,0.65,-2.98,-4.13,0.76,1.68,2.11,0.43,0.42
,,,PIHK2AD0520,8.64,7.05,-1.88,0.34,0.91,-2.77,-3.37,1.59,1.82,2.42,0.36,0.34
,,,PIHK2AD0820,8.26,5.62,0.04,0.5,1.25,-2.6,-3.26,1.83,1.83,1.86,0.38,0.5
,,,PIHK2AD1020,8.41,5.69,-1.1,0.53,1.14,-2.66,-3.27,1.85,1.85,2.22,0.53,0.43
,,,PIHK2AD1201,8.36,10.61,-0.75,0.8,2.7,2.7,2.89,8.4,8.79,9.26,0.48,0.8
WSAWB20,TSM-QC-L8H,014*30*TM860 *New (P1) -666*Wire-01*0072*22061002,PJD8MAA0120,10.79,5.79,-0.58,0.67,1.5,1.5,-1.72,-1.53,-1.53,1.62,0.51,0.67
2022/6/11 05:47,PJD8MAA,,PJD8MAA0320,8.58,5.55,-1.16,0.48,1.12,1.61,-1.68,0.82,0.98,1.22,0.48,0.43
,,,PJD8MAA0520,8.75,4.43,-1.07,0.54,1.28,2.06,2.08,1.59,1.76,1.76,0.54,0.43
,,,PJD8MAA0720,8.2,3.91,-1.06,0.57,1.49,2.18,2.28,1.68,1.69,1.69,0.56,0.41
,,,PJD8MAA0920,7.35,4.87,-0.81,0.66,1.92,3.28,3.62,2.31,2.86,3.17,0.66,0.53
,,,PJD8MAA1120,7.83,8.42,-1.36,0.91,3.02,5.23,5.73,6.42,8.35,8.39,0.84,0.91
WSAWB20,INL-QA-SAK,015*31.1*TM860 *New (P1) -680*Wire-02*0120*22061101,PIGM7AG0120,9.21,7.32,-1.14,0.63,1.22,1.26,-2.33,1.29,2.68,3.17,0.31,0.62
2022/6/11 20:22,PIGM7AG,,PIGM7AG0320,9.51,6.03,-1.25,0.43,1.27,1.27,-1.6,1.34,1.63,1.67,0.29,0.29
,,,PIGM7AG0520,9.41,4.91,-1.11,0.37,1.09,1.72,1.86,1.44,1.55,1.9,0.2,0.31
,,,PIGM7AG0820,8.37,3.72,-0.68,0.42,0.86,1.34,1.46,1.86,1.9,2.45,0.19,0.26
,,,PIGM7AG1020,7.97,5.05,-0.56,0.68,1.34,2.24,2.68,2.73,4.15,4.78,0.29,0.68
,,,PIGM7AG1201,8.17,7.45,-0.63,0.64,2.18,3.22,4.36,5.04,6.81,6.88,0.47,0.64
WSAWB20,DEV-QC-57M,011*30.7*TM860 *New (P1) -634*Wire-01*0119*22060802,PIE8DAA0120,10.31,9.67,-0.42,0.63,0.78,-3.39,-4.74,-1.19,-1.38,-1.54,0.48,0.34
2022/6/9 08:34,PIE8DAA,,PIE8DAA0320,9.88,9.59,-0.93,0.51,1.15,-3.22,-4.22,0.86,-0.87,-1.12,0.4,0.21
,,,PIE8DAA0520,9.78,8.3,-0.78,0.47,1.18,-2.42,-3.29,1.19,1.19,-1.83,0.34,0.47
,,,PIE8DAA0820,9.46,6.25,-0.62,0.54,1.75,-2.04,-2.72,1.54,1.54,1.54,0.5,0.31
,,,PIE8DAA1020,9.49,6.31,-0.3,0.6,2.81,2.81,2.81,2,3.41,3.65,0.53,0.5
,,,PIE8DAA1201,9.35,7.51,-1.18,0.74,3.85,4.79,6.03,5.75,6.87,7.16,0.74,0.75
WSAWB20,TSM-QC-F9R,012*29.9*TM860 *New (P1) -643*Wire-02*0060*22060902,PHE96AA0120,11.85,8.81,-1.52,0.49,1.38,-2.34,-2.8,-1.65,-1.74,-1.74,0.33,0.29
2022/6/9 23:41,PHE96AA,,PHE96AA0220,9.62,9.13,-1.32,0.59,-1.07,-2.52,-3.19,0.65,-0.74,-0.94,0.38,0.21
,,,PHE96AA0520,10.31,7.39,-1.3,0.45,1.15,-1.72,-2.19,1.42,1.42,1.42,0.3,0.27
,,,PHE96AA0720,9.43,6.34,-0.7,0.39,-0.55,-1.06,-1.31,1.43,1.43,1.43,0.39,0.31
,,,PHE96AA0920,8.98,4.99,-0.88,0.41,1.02,1.43,1.9,1.32,2.05,2.29,0.4,0.17
,,,PHE96AA1108,9.42,7.63,-1.18,0.65,1.59,3.01,4.21,4.43,5.87,6.28,0.65,0.64
WSAWB20,INL-QA-SAK,009*27.7*TM860 *New (P1) -608*Wire-02*0043*22060702,PIHK0AM0120,9.56,11.89,-1.42,0.99,-2.19,-3.83,-5.89,-1.55,-1.9,-1.9,0.29,0.45
2022/6/8 01:35,PIHK0AM,,PIHK0AM0320,9.73,11.09,-2.14,0.95,-1.76,-3,-5.2,0.62,-1,1.05,0.29,0.61
,,,PIHK0AM0620,9.12,9.05,-1.44,0.89,-0.8,-1.49,-3.06,1.64,-1.95,-1.97,0.36,0.53
,,,PIHK0AM0720,8.78,8.89,-1.78,0.94,-1.01,-1.6,-3.4,1.11,1.11,-1.32,0.36,0.45
,,,PIHK0AM0920,9.13,6.5,-1.38,0.96,-0.49,-0.49,-1.41,0.65,-1.22,1.25,0.39,0.48
,,,PIHK0AM1101,9.68,7.24,-1.97,0.97,1.08,2.01,2.01,4.84,5.46,5.46,0.54,0.57
WSAWB20,INL-QA-SAK,010*28.6*TM860 *New (P1) -620*Wire-03*0007*22060801,PIHK0AG0120,10.18,13.84,-3.6,0.56,-1.33,-2.99,-5.32,-2.1,-2.3,-3.38,0.47,0.55
2022/6/8 17:40,PIHK0AG,,PIHK0AG0320,9.71,14.29,-4.36,0.56,-1.24,-2.84,-4.92,0.63,-0.73,-1.33,0.25,0.3
,,,PIHK0AG0520,9.73,10.86,-3.13,0.61,-0.86,-1.6,-2.99,1.31,1.31,-2.07,0.35,0.33
,,,PIHK0AG0720,10.4,9.76,-2.75,0.54,1.42,1.42,-3.27,1.14,1.14,-1.85,0.35,0.31
,,,PIHK0AG0920,9.19,8.51,-2.78,0.59,1.19,1.19,-1.85,0.68,1.32,-1.37,0.4,0.25
,,,PIHK0AG1108,9.71,9.06,-3.03,0.55,2.48,3.52,3.54,4.93,6.71,6.71,0.51,0.51
WSAWB20,TSM-QC-L8H,008*28.4*TM860 *New (P1) -596*Wire-01*0093*22060602,PJB91AB0120,10.13,8.37,-0.87,0.43,1.21,-1.88,-3.27,-1.62,-2.26,-2.51,0.17,0.29
2022/6/7 11:01,PJB91AB,,PJB91AB0320,9.7,8.17,-1.26,0.39,1.69,-1.97,-3.12,0.91,-1.41,-1.41,0.27,0.3
,,,PJB91AB0520,9.76,6.08,-1.59,0.38,1.32,1.32,-1.57,0.91,-1.35,-1.38,0.3,0.27
,,,PJB91AB0720,9.98,5.2,-1.29,0.44,0.75,1.08,-1.11,0.83,-1.24,-1.24,0.26,0.32
,,,PJB91AB0920,9.82,5.81,-1.58,0.64,1.44,3.26,3.26,2.4,3.43,3.43,0.41,0.64
,,,PJB91AB1101,10.47,6.67,-2.12,0.72,2.06,5.03,5.03,5.67,7.01,7.01,0.55,0.72
WSAWB20,DEV-QC-57M,006*31.8*TM860 *New (P1) -571*Wire-02*0005*22060502,PGA66AA0120,10.69,9.43,-0.71,0.31,-1.16,-2.1,-4.11,-1.57,-2.38,-2.43,0.25,0.26
2022/6/6 05:37,PGA66AA,,PGA66AA0220,10.12,8.18,-1.48,0.28,0.93,-2.07,-3.35,0.81,-1.28,-1.28,0.25,0.28
,,,PGA66AA0420,10.34,7.72,-1.96,0.34,1.07,-1.48,-2.46,0.87,-1.77,-2.01,0.27,0.35
,,,PGA66AA0620,10.19,6.61,-1.43,0.23,0.93,0.93,-1.38,1.46,1.46,1.48,0.22,0.26
,,,PGA66AA0820,9.87,5.05,-1.63,0.33,1.22,1.29,1.29,1.97,2.17,2.69,0.22,0.36
,,,PGA66AA1001,10.37,6.11,-2.11,0.65,1.82,2.39,2.75,5.3,5.46,5.46,0.32,0.75
WSAWB20,DEV-QC-56P,007*31.2*TM860 *New (P1) -583*Wire-03*0011*22060601,PGA65AA0120,10.07,12.18,-1.52,0.66,-1.09,-1.98,-3.57,-2.62,-2.62,-3.17,0.25,0.66
2022/6/6 20:40,PGA65AA,,PGA65AA0320,9.67,12.15,-2.18,0.44,-1.17,-1.57,-2.68,-2.04,-2.69,-2.69,0.33,0.44
,,,PGA65AA0520,10.53,9.97,-2,0.42,1.13,1.15,-1.57,-1.58,-2.33,-2.49,0.26,0.28
,,,PGA65AA0820,10.32,9.06,-1.88,0.39,1.71,2.02,2.02,-1.28,-2,-2.65,0.29,0.22
,,,PGA65AA1020,10.52,7.36,-1.71,0.3,1.48,2.46,2.5,1.66,1.66,-1.78,0.26,0.23
,,,PGA65AA1208,11.71,7.59,-1.96,0.62,2.62,5.13,5.13,4.62,4.71,4.71,0.49,0.62
WSAWB20,TSM-QX-S4F,005*31.5*TM1050 *New (P1) -559*Wire-01*0071*22060402,PIC4BAE0120,10.53,7.89,-1.16,0.43,1.31,-1.78,-3.01,-0.71,1.85,2.42,0.43,0.4
2022/6/5 14:19,PIC4BAE,,PIC4BAE0320,10.41,9.27,-1.6,0.3,1.42,-2.07,-3.45,1.04,-1.53,-1.53,0.34,0.2
,,,PIC4BAE0520,10.16,7.93,-2.1,0.31,1.83,1.83,-2.45,1.96,1.96,-2.11,0.34,0.27
,,,PIC4BAE0820,10.01,5.83,-1.49,0.4,1.92,1.92,1.92,2.31,2.31,2.31,0.45,0.27
,,,PIC4BAE1020,9.39,4.79,-1.57,0.35,1.98,2.09,2.32,2.3,2.61,2.61,0.48,0.33
,,,PIC4BAE1208,10.83,6.03,-1.93,0.8,3.22,3.93,4.32,4.34,5.41,5.41,0.64,0.8
WSAWB20,TSM-QX-20K,004*31.5*TM1050 *New (P1) -545*Wire-03*0005*22060401,PJD8KAK0120,10.4,7.74,0.09,0.32,1.13,1.13,-2.36,0.99,-1.52,1.56,0.32,0.25
2022/6/4 23:44,PJD8KAK,,PJD8KAK0320,10.47,7.07,-0.53,0.36,1.52,1.52,-1.96,1.3,1.32,1.45,0.36,0.25
,,,PJD8KAK0520,10.49,6.36,-0.58,0.35,1.82,1.9,1.9,1.35,1.67,1.67,0.35,0.28
,,,PJD8KAK0820,10.85,6.34,-0.61,0.42,2.54,2.54,2.54,1.84,1.84,1.84,0.42,0.34
,,,PJD8KAK1020,10.32,5.1,-0.55,0.45,2.36,2.76,3.1,1.87,1.87,-2.34,0.39,0.45
,,,PJD8KAK1208,10.92,5.75,-0.92,0.76,2.79,3.92,4.35,4.11,4.92,4.92,0.48,0.76
WSAWB20,IME-QY-26H,003*34.1*TM1050 *New (P1) -331*Wire-02*0002*22060302,PFI9LAA0120,10.53,10.58,-1.17,0.49,1.87,-1.93,-4.63,-2.12,-2.42,-2.42,0.49,0.33
2022/6/4 05:13,PFI9LAA,,PFI9LAA0320,10.63,9.06,-1.54,0.41,2.09,2.09,-3.63,1.53,1.57,1.67,0.41,0.34
,,,PFI9LAA0620,10.69,7.51,-1.3,0.46,1.82,2.29,-2.62,1.96,1.96,1.96,0.46,0.35
,,,PFI9LAA0820,10.28,7.54,-1.22,0.48,2.35,2.61,2.61,1.81,1.81,-2.03,0.48,0.29
,,,PFI9LAA1220,10.59,4.88,-0.62,0.75,3.12,3.71,3.71,2,2,2,0.4,0.75
,,,PFI9LAA1308,10.91,6.26,-0.83,0.73,2.89,4.02,4.02,2.75,2.75,2.75,0.47,0.73
WSAWB20,PSC-QY-69K,002*34.4*RDTEST *New (P1) -512*Wire-01*0024*22060202,PAJESAA0120,10.55,11.66,-0.74,0.54,-1.1,-3.86,-6.17,1.29,1.31,1.94,0.29,0.48
2022/6/3 11:33,PAJESAA,,PAJESAA0320,10.53,8.76,-0.91,0.44,0.84,-2.4,-4.04,1.96,1.96,1.96,0.26,0.44
,,,PAJESAA0620,11.18,6.75,-1.03,0.45,1.36,1.36,-2.03,1.83,1.83,1.83,0.45,0.42
,,,PAJESAA0820,11.23,6.52,-0.99,0.58,1.77,2.05,2.05,1.96,1.96,-2.2,0.58,0.42
,,,PAJESAA1120,11.42,5.32,-0.32,0.7,2.36,3.1,3.1,1.62,1.62,-2.34,0.58,0.7
,,,PAJESAA1308,11.63,5.77,-0.84,0.94,3.82,5.96,6.1,3.08,3.57,3.57,0.83,0.94
WSAWB20,TSM-QX-20K,019*29.8*TM860 * A-879*Wire-02*0102*22052603,PJB88AH0120,8.22,14.21,-3.13,1.07,-1.78,-3.42,-5,1.47,3.81,4.13,0.38,1.07
2022/5/27 08:35,PJB88AH,,PJB88AH0320,8.02,13.42,-2.62,0.4,-2.32,-4.36,-5.62,1.49,2.08,2.52,0.28,0.4
,,,PJB88AH0520,7.67,14.03,-2.73,0.42,-3.19,-5.09,-6.46,2.51,3.02,3.33,0.28,0.4
,,,PJB88AH0720,7.49,14.88,-3.02,0.37,-4.2,-5.96,-7.07,1.5,1.5,1.91,0.31,0.3
,,,PJB88AH0920,7.25,14.15,-3.12,0.46,-4.46,-6.41,-7.2,2.72,4.01,4.63,0.39,0.46
,,,PJB88AH1120,7.38,12.81,-4.44,1.26,-1.62,-2.35,-2.35,8.91,12.05,13.35,0.6,1.26
WSAWB20,GBS-Q3-9JF,018*28.3*TM860 * A-872*Wire-01*0032*22052601,PEHCHAA0120,8.57,10.63,-2.39,1.14,-1.55,-2.89,-4.05,1.21,3.2,4.32,0.22,1.14
2022/5/26 17:16,PEHCHAA,,PEHCHAA0320,7.89,9.93,-2.07,0.56,-1.72,-2.91,-3.94,1.7,2.18,3.81,0.27,0.52
,,,PEHCHAA0520,7.7,11.19,-2.57,0.41,-2.26,-4.01,-4.9,3.57,3.65,4.41,0.23,0.38
,,,PEHCHAA0720,7.34,11.74,-2.66,0.62,-2.53,-4.32,-4.95,3.49,4.22,4.93,0.25,0.62
,,,PEHCHAA0920,6.95,10.27,-2.34,1.02,-2.62,-3.86,-5.11,5.05,6.38,6.61,0.21,1.02
,,,PEHCHAA1101,7.44,10.36,-4.07,1.39,-1.37,-1.81,-1.81,11.55,13.28,13.79,0.33,1.39
WSAWB20,PSC-QC-67F,016*29.1*TM860 * A-857*Wire-02*0118*22052402,PHH6GAG0120,9.18,12.87,-1.92,1.35,1.45,-2.29,-3.79,1.01,4.59,5.44,0.44,1.35
2022/5/25 11:16,PHH6GAG,,PHH6GAG0320,8.99,14.46,-2.37,0.81,1.06,-2.77,-3.74,0.75,1.87,2.9,0.34,0.74
,,,PHH6GAG0520,9.45,13.99,-2.71,0.63,-1.8,-3.45,-4.6,-1.23,-1.23,1.54,0.27,0.63
,,,PHH6GAG0720,9.89,16.5,-3.23,0.54,-1.76,-4.07,-6.28,0.86,1.98,2.2,0.27,0.54
,,,PHH6GAG0920,10.17,16.88,-3.35,0.86,-2.35,-4.31,-6.01,2.56,3.53,4.04,0.15,0.86
,,,PHH6GAG1101,10.74,18.51,-3.97,1.11,-1.54,-3.09,-5.58,5.51,6.88,6.88,1.11,0.96
WSAWB20,UMC-QC-L2B,014*29.5*TM860 * A-841*Wire-03*0116*22052302,PHE89AJ0120,8.27,14.05,-2.1,1.14,-1.33,-3.35,-5.07,-1.75,4.88,4.88,0.19,1.14
2022/5/24 05:15,PHE89AJ,,PHE89AJ0320,7.92,15.64,-2.76,0.69,-1.74,-4.12,-6.53,2.57,3.15,3.43,0.23,0.53
,,,PHE89AJ0520,8.18,15.49,-3.21,1.18,-1.71,-4.5,-5.81,0.68,2.48,3.12,1.18,0.71
,,,PHE89AJ0720,8.29,17.92,-3.23,0.41,-2.1,-4.42,-6.61,1.75,2.11,2.89,0.26,0.41
,,,PHE89AJ0920,7.99,16.24,-3.05,0.56,-2.03,-3.74,-5.61,1.93,2.51,2.76,0.27,0.56
,,,PHE89AJ1108,8.61,15.83,-3.52,0.76,-1.26,-3.29,-4.16,4.12,5.35,5.35,0.46,0.76
WSAWB20,UMS-QC-09F,015*28.8*TM860 * A-849*Wire-01*0060*22022401,PFG8EAD0120,9.85,15.18,-2.07,1.32,-0.66,-2.87,-4.85,-2.39,5.37,5.68,0.46,1.32
2022/5/24 19:58,PFG8EAD,,PFG8EAD0320,8.83,17.53,-3.06,0.85,-0.87,-2.83,-5.34,-1.25,2.75,3.01,0.56,0.85
,,,PFG8EAD0520,24.56,17.35,-3.7,2.78,-1.76,-4.3,-6.2,-1.22,2.34,2.76,2.01,0.86
,,,PFG8EAD0720,11.24,20.86,-4.2,1.09,-2.58,-5.29,-8.03,-0.52,1.2,-1.41,1.09,0.52
,,,PFG8EAD0920,9.71,19.95,-4.75,0.49,-2.62,-4.69,-6.61,-0.45,-0.65,-2.22,0.27,0.49
,,,PFG8EAD1108,13.94,21.05,-5.98,0.83,-1.04,-2.99,-4.62,2.24,2.5,2.53,0.83,0.46
WSAWB20,UMC-QC-L2B,013*29.3*TM860 *New (P1) -292*Wire-02*0202*22052202,PHE89AA0120,9.49,12.39,-2.46,0.75,1.51,-2.05,-3.05,-2.96,-2.96,-2.96,0.26,0.75
2022/5/23 14:32,PHE89AA,,PHE89AA0320,9.59,12.1,-2.86,0.7,-1.01,-1.21,-2.23,-1.65,-1.78,-1.78,0.34,0.7
,,,PHE89AA0520,9.4,13.32,-3.25,0.59,-1.29,-2.17,-3.55,0.71,1.1,1.61,0.22,0.59
,,,PHE89AA0720,9.11,13.86,-4.1,0.49,-1.75,-1.97,-2.65,1.5,-1.9,-1.9,0.4,0.49
,,,PHE89AA0920,9.39,12.88,-3.67,0.58,-1.28,-1.87,-2.9,0.92,-1.04,-1.52,0.53,0.14
,,,PHE89AA1108,9.39,12,-3.44,0.78,0.68,0.93,1.21,3.35,3.42,3.42,0.78,0.19
WSAWB20,TSM-QC-L8H,012*27.7*TM860 *New (P1) -279*Wire-01*0104*22052202,PJF1FAB0120,9.93,12.03,-3.92,0.75,1.04,1.14,-2.65,-0.87,1.29,1.38,0.44,0.75
2022/5/22 23:05,PJF1FAB,,PJF1FAB0320,9.39,13.46,-5.01,0.8,1.24,1.24,-2.02,1.13,1.65,2.69,0.58,0.69
,,,PJF1FAB0520,9.77,12.39,-4.95,0.77,-1.23,1.24,1.41,1.54,-1.57,-1.57,0.71,0.35
,,,PJF1FAB0720,9.59,14.49,-5.23,0.5,0.76,1.31,-3,1.53,1.53,1.53,0.36,0.3
,,,PJF1FAB0920,9.41,13.42,-4.5,0.75,1.06,1.64,-1.91,2.08,2.08,-2.58,0.68,0.4
,,,PJF1FAB1101,10.72,13.1,-5,0.68,1.53,2.5,2.64,4.1,4.44,4.44,0.58,0.51
WSAWB20,INL-QA-SAK,011*27.6*TM860 *New (P1) -266*Wire-03*0107*22052102,PIB4NAH0120,10.14,10.15,-1.71,0.7,0.99,-1.05,-2.52,-2.71,-2.71,-2.71,0.67,0.76
2022/5/22 08:32,PIB4NAH,,PIB4NAH0220,10.28,11.12,-3.25,0.64,0.77,-1.21,-3.16,-1.76,-1.76,1.93,0.47,0.64
,,,PIB4NAH0420,9.92,9.82,-2.98,0.51,0.68,-0.82,-2.03,-1.54,-2.27,-2.27,0.5,0.51
,,,PIB4NAH0620,10.14,11.21,-3.38,0.5,-0.78,-0.83,-1.87,-1.39,-2.37,-2.97,0.47,0.28
,,,PIB4NAH0820,10.17,12.65,-4.54,0.52,-0.73,-0.91,-1.86,-1.72,-3.27,-4.58,0.49,0.17
,,,PIB4NAH1020,11.36,13.91,-5.42,0.93,0.61,1.13,-1.86,1.99,2.37,-2.9,0.93,0.52
WSAWB20,TSM-QC-F9R,009*30.9*TM860 *New (P1) -240*Wire-01*0108*22052002,PFE53AH0120,10.96,15.24,-3.07,0.61,-0.9,-2.71,-5.28,-1.3,1.83,1.83,0.31,0.61
2022/5/21 02:08,PFE53AH,,PFE53AH0320,10.18,15.24,-3.96,0.53,-0.79,-2.42,-4.19,-1.03,1.34,1.78,0.31,0.53
,,,PFE53AH0520,11.27,14.41,-4.2,0.42,-0.84,-2.8,-4.27,-0.69,-0.94,1.66,0.39,0.38
,,,PFE53AH0820,10.43,15.46,-4.91,0.45,-1.28,-2.26,-3.38,-0.75,-1.12,-1.57,0.17,0.29
,,,PFE53AH1020,10.87,13.84,-3.58,0.43,-0.9,-2.38,-2.97,-1.09,-1.22,-2.08,0.41,0.23
,,,PFE53AH1208,13.02,15.67,-5.18,0.7,-0.55,-1.1,-2.24,4.21,4.21,4.21,0.58,0.59
WSAWB20,TSM-QC-F9R,010*30.7*TM860 *New (P1) -252*Wire-02*0022*22052101,PFD28AH0120,11.31,14.33,-2.06,0.5,-1.39,-2.76,-5.18,-3.32,-3.32,-3.42,0.43,0.51
2022/5/21 17:05,PFD28AH,,PFD28AH0320,11.22,13.88,-2.79,0.72,-1.63,-3.21,-4.32,-2.84,-2.96,-2.96,0.47,0.72
,,,PFD28AH0520,10.47,13.59,-3.78,0.6,-1.8,-3.26,-5.12,-1.96,-2.41,-2.41,0.33,0.6
,,,PFD28AH0820,11.67,17.29,-4.65,0.46,-2,-3.47,-4.98,-1.15,-1.91,-1.91,0.43,0.39
,,,PFD28AH1020,11.94,14.76,-4.14,0.44,-1.92,-4.08,-5.41,-0.44,-0.76,-1.13,0.21,0.32
,,,PFD28AH1201,13.14,15.71,-4.6,0.59,-2.04,-2.68,-3.82,2.41,2.72,2.72,0.31,0.36
WSAWB20,TSM-QC-L8H,008*30.6*TM860 *New (P1) -228*Wire-03*0109*22051902,PJC4LAA0120,9.25,7.04,-1.01,1.01,1.08,-1.98,-2.75,-1.05,3.68,3.68,0.31,1.01
2022/5/20 11:12,PJC4LAA,,PJC4LAA0320,8.86,7.43,-1.44,0.84,1.07,-2.05,-2.08,-1.06,2.58,2.72,0.4,0.84
,,,PJC4LAA0520,8.31,7.75,-1.81,0.67,0.83,-1.44,-1.88,-0.7,2.41,2.41,0.52,0.67
,,,PJC4LAA0820,7.81,8.67,-1.88,0.58,1.07,1.68,-2.43,0.99,1.69,1.94,0.36,0.43
,,,PJC4LAA1020,7.86,7.9,-1.22,0.85,1.01,-1.74,-2.53,1.54,2.09,2.09,0.79,0.33
,,,PJC4LAA1201,8.38,6.77,-0.68,0.83,2.1,2.63,2.63,7.16,7.16,7.16,0.65,0.63
WSAWB20,TSM-QC-L8H,006*28.7*TM860 *New (P1) -203*Wire-01*0202*22051802,PJG0HAA0120,9.68,7.7,-1.74,0.64,1.66,2.47,2.47,-2.26,-2.26,-2.26,0.27,0.64
2022/5/19 00:09,PJG0HAA,,PJG0HAA0320,8.45,8.27,-2.1,0.47,1.81,3.07,3.07,-1.11,-1.37,-1.37,0.24,0.38
,,,PJG0HAA0520,8.62,8.98,-2.82,0.53,1.6,3.05,3.05,-0.75,-1.26,-1.26,0.37,0.28
,,,PJG0HAA0720,8.33,9.24,-2.32,0.82,1.62,3.53,3.53,-1.01,-1.52,-1.52,0.64,0.28
,,,PJG0HAA0920,7.64,9.07,-2.76,0.6,2.14,4.05,4.05,1.18,1.18,1.18,0.55,0.3
,,,PJG0HAA1108,7.87,9.45,-2.99,0.63,2.78,4.66,4.66,4.44,4.51,4.51,0.55,0.52
WSAWB20,UMC-QC-59K,005*29.4*TM860 *New (P1) -189*Wire-03*0012*22051702,PFE50AA0120,10.01,9.42,-1.17,0.7,1.76,1.87,-3.45,-0.44,2.45,2.6,0.53,0.65
2022/5/18 08:09,PFE50AA,,PFE50AA0320,11.95,10.5,-1.34,0.59,1.19,1.19,-2.62,1.38,1.59,2.34,0.46,0.51
,,,PFE50AA0520,11.18,11.25,-2.4,0.66,1.22,1.22,-3.37,0.52,-0.98,1,0.54,0.33
,,,PFE50AA0720,11.8,11.83,-2.73,0.59,1.49,1.49,-3.42,0.82,-1.11,-1.11,0.54,0.31
