A1_TTV,B1_TTV,C1_TTV,A2_TTV,B2_TTV,C2_TTV,A1_WARP,B1_WARP,C1_WARP,A2_WARP,B2_WARP,C2_WARP,A1_BOW,B1_BOW,C1_BOW,A2_BOW,B2_BOW,C2_BOW,A1_WAVI,B1_WAVI,C1_WAVI,A2_WAVI,B2_WAVI,C2_WAVI
10.72,,11.85,9.86,9.47,,5.5,,9.7,7.03,8.77,,0.45,,-1.06,-0.12,-0.57,,0.73,,0.6,0.97,1.04,
10.88,,12.48,9.45,9.11,,8.27,,10.11,8.41,9.52,,0.27,,0.89,-0.88,-0.68,,0.8,,0.49,0.62,0.63,
10.47,,12.82,11.88,9.15,,6.12,,9.97,9.9,8.86,,0.45,,1.3,-1.17,-0.78,,0.91,,0.55,0.62,0.46,
11.04,,12.71,12.97,9.73,,6.26,,7.08,10.38,9.97,,0.09,,1.32,-0.94,-0.52,,0.65,,0.66,0.55,0.57,
9.9,,12.85,11.15,8.71,,6.19,,7.56,10.96,8.03,,0.11,,0.79,-1.54,-0.34,,0.64,,0.86,0.52,0.64,
9.78,,13.83,6.94,9.19,,7.05,,5.64,12.82,9.08,,0.24,,-0.69,-3.24,-1.88,,0.58,,0.95,0.53,0.63,
9.43,,12.07,8.48,10.3,,7.64,,8.5,12.92,7.83,,1.01,,-0.9,-0.3,-0.26,,0.61,,0.71,0.73,0.88,
9.07,,12.41,8.88,9.32,,7.25,,7.97,12.67,7.23,,0.41,,1.39,-1.12,-0.57,,0.66,,0.53,0.85,0.74,
9.38,,12.45,9.06,9.66,,8.79,,8.07,10.24,6.76,,0.37,,1.57,-1.43,-0.8,,0.98,,0.52,0.74,0.46,
9.83,,12.68,9.35,8.73,,8.63,,8.36,9.56,7.2,,-0.35,,1.3,-1.45,-0.48,,0.59,,0.81,0.94,0.64,
10.02,,12.54,9.79,8.65,,8.91,,9.04,11.41,6.72,,-0.59,,1.57,-2.34,-0.57,,0.57,,0.99,0.84,0.74,
10.04,,13.56,11.26,9.2,,10.54,,7.91,11.55,7.77,,-0.56,,0.16,-2.91,-0.76,,0.6,,0.53,0.81,0.84,
10.22,,11.49,11.26,9.57,,10.22,,8.15,11.22,12.65,,0.32,,-0.05,1.93,-2.67,,0.88,,0.48,1.27,1.03,
10.24,,11.78,11.32,10.01,,10.01,,7.58,9.48,11.73,,-0.12,,0.97,1.59,-2.73,,0.87,,0.47,0.56,0.87,
10.63,,11.93,11.72,9.53,,7.53,,10.1,6.83,11.6,,-0.29,,0.39,0.31,-2.73,,0.8,,0.52,0.79,0.44,
11.38,,11.81,11.79,9.81,,7.19,,6.59,7.27,11.58,,-1,,0.27,0.59,-2.26,,0.5,,0.62,0.59,0.57,
9.54,,11.97,12.72,9.26,,6.68,,6.51,7.19,9.89,,-1.18,,0.02,-0.06,-1.98,,0.51,,0.68,0.91,0.56,
10.37,,12.31,12.56,10.34,,6.66,,5.24,7.15,7.81,,-1.21,,-0.48,-1.65,-1.91,,0.55,,0.54,0.92,0.59,
10.1,,9.42,12.9,10.08,,6.95,,8.02,7.24,6.89,,1.72,,-1.17,-2.58,-0.53,,0.5,,0.4,0.85,0.52,
10.41,,9.27,12.46,9.43,,7.04,,8.27,14.16,6.3,,1.36,,-0.26,-2.47,-1.05,,0.55,,0.47,0.91,0.55,
10.14,,9.28,14.39,9.42,,6.28,,8.95,10.89,5.56,,1.15,,0.06,-3.71,-1.1,,0.52,,0.54,0.92,0.37,
10.48,,9.01,13.54,9.89,,6.11,,6.1,9.26,5.93,,0.61,,-0.04,-3.82,-0.74,,0.39,,0.59,0.86,0.35,
10.27,,9.61,14.34,9.55,,5.14,,6.53,9.67,5.29,,0.6,,-0.45,-2.1,-0.91,,0.42,,0.57,1.01,0.5,
10.42,,10.09,10.25,9.75,,4.14,,5.16,8.54,6.15,,-0.3,,-0.76,-1.92,-1.46,,0.35,,0.93,1.22,0.63,
10.63,,11.13,10.87,10.03,,5.27,,6.65,7.57,11.01,,1.37,,-1.59,-2.69,-1.59,,0.46,,0.93,1.34,0.52,
11.07,,10.42,10.77,10.56,,6.32,,6.88,9.54,11.8,,1.15,,0.62,-1.94,-2.25,,0.6,,0.97,0.79,0.47,
10.32,,11.51,11.26,10.02,,6.73,,8.75,12.02,10.55,,0.89,,0.46,-1.12,-2.02,,0.66,,0.91,0.66,0.48,
11.41,,10.85,11.18,9.88,,5.79,,7.57,10.22,9.71,,0.45,,0.46,-0.85,-1.54,,0.65,,1.06,0.63,0.38,
10.57,,11.37,13.34,10.02,,6.21,,8.2,10.71,9.12,,0.24,,0.32,-1.57,-1.45,,0.48,,1.13,0.82,0.5,
10.74,,13.07,9.74,10.53,,6.91,,7.94,10.65,9.52,,-0.24,,-0.97,-2.09,-1.95,,0.43,,0.6,1.04,0.67,
10.96,,11.32,10.86,9.12,,5.72,,9.3,9.95,8.8,,1.77,,-1.34,-1.44,-0.88,,0.51,,0.65,1.28,0.67,
10.75,,11.4,11.54,9.19,,6.34,,8.3,11.03,7.87,,1.29,,0.62,-1.22,-1.75,,0.55,,0.81,0.65,0.42,
11.02,,11.95,11.51,8.64,,8.69,,9.6,9.78,7.05,,1.03,,0.57,-1.88,-1.88,,1.01,,0.63,0.58,0.34,
11.51,,11.74,12.68,8.26,,8.27,,6.41,9.14,5.62,,0.42,,1.14,-1.99,0.04,,0.77,,0.89,0.54,0.5,
9.69,,11.59,13.34,8.41,,7.77,,5.83,10.3,5.69,,0.23,,0.43,-1.66,-1.1,,0.61,,0.84,0.67,0.53,
9.98,,12.23,9.75,8.36,,8.32,,6.24,10.46,10.61,,-0.51,,-0.12,-3.13,-0.75,,0.63,,0.69,0.61,0.8,
10.01,,11.85,11.14,10.79,,8.17,,7.77,11.28,5.79,,1.19,,-0.75,-1.48,-0.58,,0.64,,0.59,0.79,0.67,
9.81,,12.04,12.2,8.58,,8.68,,6.44,11.84,5.55,,0.61,,1.59,-1.63,-1.16,,0.81,,0.65,0.83,0.48,
10.08,,12.34,11.52,8.75,,6.53,,6.74,6.74,4.43,,0.57,,1.44,-2.1,-1.07,,1,,0.65,0.91,0.54,
10.61,,12,11.62,8.2,,8.13,,6.45,7.34,3.91,,0.18,,1.41,-2.73,-1.06,,0.99,,0.64,1.23,0.57,
10,,11.93,13.73,7.35,,6.92,,6.13,7.66,4.87,,-0.01,,0.58,-2.4,-0.81,,1.02,,0.97,0.92,0.66,
10.09,,12.68,13.18,7.83,,8.99,,6.34,7.69,8.42,,-1.07,,0.01,-3.45,-1.36,,1.02,,1.19,0.87,0.91,
10.58,,11.41,13.93,9.21,,8.03,,6.96,8.14,7.32,,0.15,,0.14,-0.54,-1.14,,1.05,,1.07,0.71,0.63,
10.85,,11.1,15.96,9.51,,7.01,,6.98,10.31,6.03,,-1,,1.72,-0.71,-1.25,,1.09,,0.64,0.92,0.43,
10.52,,11.26,15.69,9.41,,8.84,,7.69,8.64,4.91,,-1.16,,1.67,-1.18,-1.11,,0.85,,1.16,0.81,0.37,
10.91,,11.52,15.9,8.37,,7.36,,10.44,7.68,3.72,,-1.47,,1.41,-1.89,-0.68,,0.69,,0.92,0.65,0.42,
10.74,,11,11.41,7.97,,7.11,,8.95,8.23,5.05,,-1.76,,0.25,-2.36,-0.56,,0.66,,1.06,0.73,0.68,
10.43,,10.53,12.29,8.17,,7.54,,7.8,9.01,7.45,,-2.63,,0.83,-3.35,-0.63,,0.68,,0.89,0.82,0.64,
11.08,,11.77,12.56,10.31,,7.43,,11.17,9.07,9.67,,2.75,,1.04,-0.21,-0.42,,0.7,,0.81,0.81,0.63,
11.66,,11.73,12.37,9.88,,8.26,,8.84,10.42,9.59,,1.87,,0.9,-0.72,-0.93,,0.72,,1.11,1.12,0.51,
10.91,,12.3,14.45,9.78,,11.87,,9.71,10.64,8.3,,2.75,,1.22,-1.02,-0.78,,1.11,,1.62,0.72,0.47,
11.16,,12.38,14.82,9.46,,11.31,,11.56,8.67,6.25,,1.58,,0.46,-1.45,-0.62,,1.11,,1.08,0.9,0.54,
8.15,,11.98,8.96,9.49,,11,,9.78,8.61,6.31,,1.88,,-0.48,-1.87,-0.3,,1.07,,0.86,0.84,0.6,
8.09,,14.15,9.39,9.35,,10.41,,8.24,8.89,7.51,,-1.02,,-0.72,-3.23,-1.18,,1.02,,1.12,1.19,0.74,
8.35,,10.65,9.99,11.85,,10.15,,11.72,8.3,8.81,,0.79,,0.4,-1.58,-1.52,,1.09,,0.56,1.04,0.49,
7.94,,11.09,12.32,9.62,,10.22,,11.13,8.94,9.13,,0.27,,0.16,-2.62,-1.32,,1.25,,0.8,0.96,0.59,
7.69,,12.6,10.92,10.31,,8.28,,12.37,9.92,7.39,,-0.2,,0.91,-2.31,-1.3,,1.79,,0.6,0.92,0.45,
9.03,,13.72,11.44,9.43,,7.95,,8.21,8.63,6.34,,-0.47,,-1.58,-2.81,-0.7,,1.78,,0.71,0.61,0.39,
9.29,,12.94,11.12,8.98,,8.13,,8.4,8.55,4.99,,-0.42,,-0.59,-2.29,-0.88,,1.85,,0.57,0.92,0.41,
9.1,,8.88,11.43,9.42,,9.25,,11.27,7.8,7.63,,-0.51,,-1.44,-3.31,-1.18,,1.8,,0.64,1.03,0.65,
8.98,,9.56,12.04,10.18,,8.78,,10.69,7.67,10.86,,3.82,,-0.86,-1.39,-3.13,,1.87,,1.36,0.69,0.56,
8.9,,10.32,13.18,9.71,,8.53,,13.59,10.17,9.76,,3.08,,-1.6,-1.99,-2.75,,1.89,,1.26,0.59,0.56,
8.96,,10.55,12.6,9.73,,7.81,,12.76,12.55,8.51,,0.44,,-1.8,-1.45,-2.78,,0.83,,1.16,0.52,0.61,
9.02,,10.07,13.41,10.4,,7.22,,13.07,10.58,9.06,,0.19,,-1.7,-3.03,-3.03,,0.88,,1.15,0.51,0.54,
8.29,,10.94,10.6,9.19,,7.17,,9.9,9.16,9.43,,0.11,,-1.6,-1.93,-0.71,,1.02,,1.34,0.64,0.59,
8.79,,9.74,11.56,9.71,,8.12,,10.58,9.09,8.18,,-0.43,,0.39,-3.19,-1.48,,0.88,,0.64,0.79,0.55,
8.72,,10.18,11.29,10.69,,8.61,,10.59,9.21,7.72,,-0.64,,0.06,-1.96,-1.96,,1.15,,0.57,0.52,0.31,
8.68,,12.16,12.18,10.12,,8.34,,10.14,10.13,6.61,,-0.8,,-1.15,-1.99,-1.43,,1.53,,0.8,0.47,0.28,
8.79,,10.45,12.03,10.34,,7.58,,9.79,10.99,5.05,,0.64,,-1.05,-2.29,-1.63,,0.63,,0.75,0.48,0.34,
9.55,,10.78,12.85,10.19,,7.34,,10.6,13.34,6.11,,-0.08,,-0.62,-2.39,-2.11,,0.68,,0.68,0.61,0.23,
10.09,,11.07,10.35,9.87,,7.54,,10.66,10.22,12.18,,-0.48,,-1.87,-1.9,-1.52,,0.6,,0.8,0.73,0.33,
10.59,,9.68,10.55,10.37,,7.85,,11.61,9.69,12.15,,-1.09,,0.07,-2.79,-2.18,,0.61,,0.95,1.05,0.65,
10.71,,12.2,11.25,10.07,,6.57,,11.67,12.6,9.97,,-1.05,,0.59,-0.61,-2,,0.53,,1.28,0.59,0.66,
10.04,,11.38,11.08,9.67,,10.31,,12.38,13.56,9.06,,-1.79,,0.61,-1.23,-1.88,,0.54,,1.25,0.47,0.44,
9.98,,11.59,11.36,10.53,,11.27,,9.23,13.09,7.36,,1.91,,-0.45,-1.32,-1.71,,0.79,,0.95,0.49,0.42,
10.7,,11.62,12.06,10.32,,11.39,,8.85,11.39,7.59,,1.42,,0.46,-1.52,-1.96,,0.74,,0.86,0.5,0.39,
11.15,,11.34,10.12,10.52,,12.97,,7.19,12.39,7.89,,1.35,,-0.17,-1.83,-1.16,,0.86,,0.74,0.51,0.3,
11.24,,7.97,10.58,11.71,,12.55,,7.3,13.16,9.27,,1.73,,1.61,-3.34,-1.6,,1.05,,1.16,0.54,0.62,
10.93,,7.89,10.35,10.53,,12.42,,8.76,13.92,7.93,,1.08,,1.08,0.13,-2.1,,0.73,,1.18,0.85,0.43,
11.42,,7.6,10.05,10.41,,16.9,,9.28,14.12,5.83,,0.46,,1.32,-0.7,-1.49,,0.75,,0.73,0.68,0.3,
12.53,,7.72,10.07,10.16,,11.72,,7.9,13.86,4.79,,0.97,,0.64,0.29,-1.57,,0.79,,0.67,1.11,0.31,
12.68,,7.7,10.45,10.01,,10.49,,6.36,14.57,6.03,,1.07,,0.47,0.65,-1.93,,0.68,,0.71,1.07,0.4,
9.65,,9.41,9.45,9.39,,9.89,,6.93,8.7,12.81,,0.7,,0.08,-0.85,-3.13,,0.78,,0.81,0.91,0.35,
10.15,,7.87,9.82,10.83,,10.75,,6.37,7.26,10.63,,0.39,,-0.12,-1.57,-2.62,,0.76,,0.6,0.87,0.8,
9.91,,7.89,9.88,8.22,,9.82,,6.44,6.41,9.93,,0.32,,0.17,-1.8,-2.73,,0.96,,0.63,0.8,1.07,
12.06,,7.71,10.61,8.02,,12.09,,10.88,7.17,11.19,,-1.89,,-0.54,-1.76,-3.02,,0.97,,0.55,0.51,0.4,
12.41,,8.11,10.76,7.67,,10.85,,9.19,6.86,11.74,,1.49,,-0.76,-2.74,-3.12,,0.85,,0.67,0.46,0.42,
10.6,,7.55,11.16,7.49,,10.88,,8.63,8.55,10.27,,1.53,,-0.17,-2.97,-2.39,,0.65,,0.95,0.62,0.37,
12.67,,7.89,8.94,7.25,,11.44,,7.06,13.23,10.36,,1.57,,-1.39,-3.53,-2.07,,0.74,,1.35,0.56,0.46,
12.24,,9.13,8.91,7.38,,10.55,,8.19,10.46,12.87,,1.65,,0.97,-2.81,-2.57,,0.85,,0.65,0.99,1.26,
11.88,,10.18,9.03,8.57,,10.42,,7.71,9.96,12.39,,1.33,,-0.36,-3.05,-2.66,,0.72,,0.63,0.83,1.14,
11.63,,9.89,9.07,7.89,,9.73,,8.88,10.16,12.1,,0.85,,0.28,-3.64,-2.34,,0.93,,0.56,0.56,0.56,
12.01,,10.14,8.95,7.7,,8.94,,9.68,9.78,12.88,,2.21,,-0.8,-0.87,-1.92,,0.83,,0.59,0.65,0.41,
11.77,,10.43,9.15,7.34,,8.81,,7.74,10.07,12,,2.67,,-0.28,-1.43,-2.37,,0.84,,0.59,0.47,0.62,
9.29,,11.31,9.88,6.95,,11.89,,7.83,13.15,12.03,,2.31,,-1.51,-1.63,-2.71,,0.96,,0.97,0.5,1.02,
9.65,,7.57,9.24,7.44,,8.09,,7.6,10.91,12.39,,0.9,,-0.54,-1.15,-3.23,,1.13,,0.94,0.6,1.39,
9.23,,7.77,9.11,9.18,,9.83,,8.44,9.21,13.1,,1.4,,-0.44,-1.26,-3.35,,0.88,,1.1,0.57,1.35,
9.13,,7.71,9.74,8.99,,9.52,,13.61,9.99,10.15,,-1.1,,-0.33,-2.03,-2.1,,2.29,,0.76,0.58,0.81,
8.55,,8.32,9.11,9.45,,7.72,,7.15,10.26,11.12,,0.49,,-0.28,-1.36,-2.76,,1.18,,0.64,0.62,0.63,
8.83,,9.23,9.87,9.89,,7.78,,7.09,9.6,9.82,,0.63,,-0.59,-1.94,-3.21,,1.07,,0.7,0.46,0.54,
8.41,,10.09,11.36,10.17,,7.14,,6.64,10.24,11.21,,0.49,,-1.78,-1.88,-3.23,,0.68,,0.67,0.46,0.86,
8.07,,9.16,11.67,10.74,,7.1,,6.94,9.81,12.65,,1.06,,-0.15,-1.32,-3.05,,0.65,,0.58,0.65,1.11,
8.52,,10.35,11.31,8.27,,7.58,,4.94,9.75,7.04,,0.39,,-0.17,-1.47,-2.46,,0.77,,0.75,1.13,1.14,
8.25,,10.53,11.22,7.92,,10.63,,7.36,9.25,7.43,,0.6,,-0.07,-1.73,-2.86,,0.76,,0.7,1.14,0.69,
8.09,,10.81,11.81,8.18,,9.17,,7.87,9.01,7.75,,0.15,,-0.06,-1.34,-3.25,,0.74,,0.46,1.01,1.18,
8.51,,10.93,13.14,8.29,,8.6,,6.93,9.67,8.67,,-0.58,,-0.48,-2.12,-1.71,,0.59,,0.61,1.32,0.41,
10.61,,11.17,13.87,7.99,,7.17,,5.97,9.78,7.9,,-0.8,,-1.25,-2.02,-3.25,,0.62,,0.56,1.18,0.56,
10.66,,7.73,14.85,8.61,,6.27,,6.21,9.07,6.77,,-0.89,,-0.28,-2.04,-2.98,,0.57,,0.87,1.28,0.76,
10.88,,7.77,15.9,9.49,,7.75,,5.92,8.87,7.7,,-1.29,,0.05,-2.21,-3.07,,0.54,,0.69,0.74,0.75,
11.25,,9.09,16.42,9.59,,11.33,,8.16,8.62,8.27,,0.03,,-0.17,-2.66,-2.06,,0.73,,0.61,0.75,0.7,
11.26,,8.42,16.29,9.4,,11.66,,7.33,8.45,8.98,,-0.51,,-0.48,-2.39,-2.79,,1.01,,0.74,0.77,0.59,
12.42,,8.54,15.34,9.11,,10.77,,7.18,8.45,9.24,,-0.6,,-0.44,-2.16,-1.01,,0.98,,0.63,0.95,0.49,
10.17,,9.66,11.08,9.39,,11.12,,6.14,13.76,9.07,,-0.84,,-1.11,-2.3,-1.44,,0.99,,0.78,1.05,0.58,
10.58,,7.86,11.55,9.39,,11.27,,6.27,13.65,9.45,,-0.79,,0.06,-2.77,-1.81,,0.89,,0.66,1,0.78,
10.32,,8.54,12.38,9.93,,9.41,,6.11,14.62,9.42,,-1.71,,-0.55,-2.56,-1.88,,0.96,,0.49,0.86,0.75,
10.86,,8.01,13.68,9.39,,8.3,,6.75,11.29,10.5,,1.35,,-0.29,-3.22,-1.22,,1.12,,0.55,0.93,0.8,
10.93,,8.3,12.74,9.77,,8.54,,7.38,12.83,11.25,,1.01,,-0.34,-1.37,-0.68,,1.09,,0.59,1.25,0.77,
11.23,,9.04,13.38,9.59,,7.9,,8.49,10.94,11.83,,0.46,,-0.78,-0.98,-1.74,,1.06,,0.5,1.05,0.5,
9.84,,10.34,8.56,9.41,,8.53,,6.45,10.09,11.97,,0.28,,-1.1,-1.18,-2.1,,1.01,,0.47,1.14,0.75,
10.9,,11.07,8.7,10.72,,8.04,,6.53,9.5,11.72,,0.19,,0.09,-1.54,-2.82,,1.07,,0.45,1.03,0.68,
12.34,,10.7,8.77,10.14,,8.06,,7.35,10.57,7,,-0.66,,-0.22,-1.87,-2.32,,1.12,,0.5,0.6,0.7,
11.53,,10.44,9.97,10.28,,10.42,,8.33,8.27,6.38,,-0.67,,-0.74,-2.56,-2.76,,0.86,,0.55,0.58,0.64,
12.11,,9.94,10,9.92,,7.86,,7.14,9.39,7.11,,-1.05,,-0.76,-0.92,-2.99,,0.82,,0.47,0.54,0.51,
12,,10.73,11.18,10.14,,6.93,,6.82,11.38,6.35,,-0.95,,-0.72,-0.81,-1.17,,0.8,,0.51,0.75,0.5,
10.02,,10.35,10.83,10.17,,7.73,,6.22,10.9,4.83,,-1.64,,-1.31,-0.85,-1.34,,0.86,,0.72,0.84,0.52,
9.95,,11.9,10.52,11.36,,7.5,,7.73,12.37,7.32,,-1.44,,0.53,-1.3,-2.4,,0.86,,1.07,1.08,0.93,
10.26,,13.02,10.78,10.96,,8.36,,6.47,12.65,4.93,,-2.25,,-0.1,-1.56,-2.73,,0.8,,0.82,0.64,0.61,
10.47,,12.51,10.83,10.18,,10.5,,8.71,13.05,5.72,,-0.46,,-0.05,-3.15,-2.87,,1.13,,0.64,0.49,0.53,
10.11,,12.34,10.89,11.27,,9.6,,6.57,13.18,6.09,,-0.84,,-0.35,-1.22,-0.97,,0.68,,0.51,0.48,0.42,
10.51,,12.14,11.68,10.43,,8.9,,6.06,11.37,7.87,,-0.89,,-0.64,-1.49,-1.8,,0.93,,0.58,0.54,0.45,
9.84,,12.25,10.28,10.87,,9.49,,5.25,11.53,6.6,,-1.29,,-1.15,-1.45,-2.07,,1.12,,0.63,0.57,0.43,
9.71,,11.63,10.58,13.02,,9.46,,5.6,11.16,6.74,,-1.44,,1.06,-1.86,-2.45,,1.23,,0.89,0.78,0.7,
9.86,,11.91,11.49,11.31,,9.13,,6.02,11.27,6.68,,-2.18,,1,-1.61,-1.5,,1.35,,0.65,0.89,0.5,
9.48,,11.98,12.79,11.22,,8.29,,10.38,11,7.58,,0.91,,0.76,-2.69,-2.98,,1.17,,0.56,0.65,0.72,
9.14,,11.24,12.17,10.47,,7.89,,5.57,11.58,8.24,,0.62,,0.61,-2.34,-1.47,,0.86,,0.53,0.68,0.6,
9.46,,11.63,12.15,11.67,,7.19,,6.3,12.57,9.59,,0.66,,0.32,-2.51,-1.77,,0.74,,0.55,0.7,0.46,
10.47,,12.06,10.1,11.94,,8.07,,7.58,13.58,8.05,,0.27,,0.27,-3.22,-2.26,,0.68,,0.63,0.67,0.44,
10.65,,11.31,10.4,9.25,,6.17,,5.09,12.09,9.65,,0.07,,0.16,-3.25,-2.53,,0.67,,0.76,0.78,0.59,
10.03,,11.81,10.01,8.86,,9.04,,5.37,13.33,7.77,,-0.72,,-0.1,-3.07,-2.49,,0.78,,0.62,0.88,1.01,
10.78,,11.72,9.84,8.31,,8.22,,11.2,12.07,7.16,,-0.42,,-0.67,-1.98,-1.3,,0.84,,0.49,0.85,0.84,
10.65,,11.45,9.57,7.81,,6.51,,8.02,12.95,8.03,,-0.14,,-0.45,-2.49,-0.59,,0.73,,0.52,1.05,0.67,
11.15,,11.4,10.19,7.86,,5.66,,7.1,11.37,7.83,,-0.48,,-0.76,-2.69,-2.07,,0.49,,0.58,0.98,0.58,
9.56,,12.21,6.89,8.38,,7.25,,6.35,10.99,8.52,,-0.84,,-1.02,-2.4,-2.55,,0.45,,0.54,1.01,0.85,
9.76,,11.93,7.94,9.68,,6.83,,6.82,11.35,10.1,,-0.69,,0.43,-2.47,-2.88,,0.45,,1.03,0.97,0.83,
9.44,,12.27,8.33,8.45,,8.63,,6.78,13.13,3.97,,-1.44,,-0.05,-2.99,-1.74,,0.5,,0.88,0.87,0.64,
9.37,,12.58,9.01,8.62,,8.33,,9.48,11.41,5.78,,-0.07,,-0.74,-3.49,-3.33,,0.5,,1,0.82,0.47,
8.72,,12.37,9.56,8.33,,7,,12.31,11.92,6.53,,0.19,,-0.39,-3.13,-2.23,,0.83,,1.03,0.92,0.53,
8.95,,13.13,9.82,7.64,,6.53,,11.68,14.47,7.49,,-0.97,,-0.77,-3.25,-2.64,,0.92,,0.97,0.87,0.82,
10.6,,9.44,10.2,7.87,,7.01,,13.02,11.87,9.39,,-0.53,,-1.39,-3.93,-2.97,,0.84,,0.94,1.14,0.6,
10.47,,9.16,10.02,10.01,,5.82,,13.4,9.99,7.2,,-0.77,,-0.6,-1.59,-0.21,,0.81,,0.71,1.2,0.63,
10.46,,10.05,10.19,11.95,,7.82,,12.71,11.44,6.32,,-1.32,,-0.3,-2.38,-1.43,,0.84,,0.6,0.61,0.7,
10.71,,9.32,11.29,11.18,,6.19,,8.67,10.28,5.66,,-2.24,,-0.96,-2.38,-1.48,,0.97,,0.48,0.78,0.59,
10.7,,9.09,10.01,11.8,,5.28,,8.96,10.92,5.48,,-1.63,,-0.99,-2.8,-2.11,,0.64,,0.51,0.77,0.66,
10.41,,9.38,10.76,11.23,,4.75,,8.91,13.23,6.6,,-1.63,,-1.35,-2.56,-1.91,,0.41,,0.57,0.55,0.59,
10.3,,12.14,11.88,12.54,,5.6,,7.66,11.23,7.87,,-2.21,,-1.33,-3.77,-2.24,,0.44,,0.64,0.7,0.79,
10.5,,12.37,11.43,10.57,,5.67,,8.63,8.75,7.86,,-1.77,,0.95,-1.66,-0.15,,0.54,,,0.75,0.6,
10.93,,12.52,11.22,11.09,,6.9,,9.73,8.68,5.11,,-2.75,,0.85,-2.54,-1.41,,0.48,,,0.53,0.66,
10.76,,12.47,12.42,10.81,,7.99,,6.23,7.6,5.92,,-1.13,,0.75,-2.72,-1.42,,0.51,,,0.62,0.74,
10.78,,12.4,12.24,12.5,,7.04,,6.17,5.6,7.03,,-0.98,,0.33,-1.78,-1.64,,0.66,,,0.69,0.46,
10.91,,12.41,13.16,11.45,,5.51,,5.93,6.44,7.58,,-1.17,,-0.01,-0.48,-1.69,,0.46,,,0.61,0.58,
9.25,,,9.56,12.42,,6.25,,6.78,10,8.38,,-1.41,,-0.31,-3.81,-2.65,,0.54,,,0.94,0.56,
9.68,,,8.63,10.74,,5.09,,6.43,8.66,6.88,,-2.1,,,-3.14,-0.9,,0.55,,,0.82,0.49,
9.61,,,9.18,10.95,,7.96,,5.84,9.41,6.13,,-2.6,,,-2.38,-1.52,,0.63,,,0.64,0.6,
9.2,,,9.89,10.96,,5.83,,,8.15,5.72,,-1.51,,,-3.46,-2.19,,0.62,,,0.62,0.67,
9.66,,,10.16,10.67,,5.84,,,8.32,6.65,,-1.55,,,-2.17,-2.52,,0.58,,,0.61,0.63,
11.05,,,11.9,11.86,,5.08,,,8.3,5.7,,-1.54,,,-2.17,-2.09,,0.35,,,0.61,0.58,
10.34,,,9.36,12.82,,5.92,,,13.07,5.55,,-2.15,,,-1.38,-2.63,,0.46,,,0.72,0.84,
10.24,,,9.23,10,,5.25,,,12.12,8.54,,-1.74,,,-1.97,-0.47,,0.39,,,0.65,0.58,
10.17,,,9.17,9.64,,6.73,,,12.54,5.3,,-3.19,,,-1.65,-1.38,,0.41,,,0.69,0.88,
9.99,,,9.73,9.7,,9.37,,,11.21,6.32,,-0.37,,,-1.51,-2.13,,0.6,,,0.78,0.56,
10.27,,,10.31,10.34,,9.28,,,11.33,6.32,,-0.29,,,-1.54,-1.81,,0.59,,,0.65,0.41,
11.21,,,9.81,10.7,,8.51,,,11.9,7.67,,-0.65,,,-1.73,-1.58,,0.6,,,0.61,0.46,
11.42,,,7.98,11.41,,9.95,,,10.16,6.93,,-0.86,,,-0.9,-1.77,,0.55,,,0.63,0.49,
11.19,,,9.46,10.6,,8.74,,,8.59,7.08,,-0.98,,,-1.57,-0.97,,0.59,,,0.57,1.12,
10.91,,,8.99,10.62,,9.64,,,7.18,7.37,,-1.99,,,-1.27,-1.49,,0.58,,,0.72,0.72,
11.59,,,10.01,10.3,,12.41,,,8.36,7.34,,1.19,,,-1.22,-2.01,,0.75,,,0.79,0.62,
11.51,,,8.91,10.63,,9.66,,,7.93,7.4,,0.08,,,-1.14,-1.91,,0.51,,,0.7,0.52,
12.26,,,11.14,10.69,,7.5,,,8.41,9.07,,0.42,,,-2.15,-0.96,,0.45,,,0.55,0.52,
9.68,,,12.25,11.4,,7.5,,,13.46,9.57,,0.3,,,-0.82,-2.06,,0.45,,,0.57,0.64,
10.03,,,12.52,10.95,,6.05,,,13.73,10.08,,0.69,,,-1.3,-1.83,,0.43,,,1.11,0.61,
10.41,,,12.4,11.01,,6.59,,,13.05,6.6,,-0.91,,,-1.45,-2.35,,0.51,,,0.66,0.52,
10.67,,,12.59,10.33,,9.99,,,13.88,8.07,,-1.1,,,-1.48,-2.28,,0.55,,,0.94,0.6,
11.25,,,13.18,11.31,,8.86,,,12.55,7.29,,0.08,,,-1.55,-3.08,,0.67,,,0.89,0.42,
10.85,,,15.33,10.7,,5.72,,,12.7,7.55,,0.37,,,-1.86,-2.53,,0.62,,,1.08,0.41,
10.04,,,8.39,12.73,,7.49,,,10.74,7.25,,0.38,,,-1.05,-3.15,,0.59,,,1.36,0.58,
10.62,,,9.24,10.77,,10.62,,,10.27,10.73,,0.48,,,-1.52,-0.4,,0.6,,,0.67,1.24,
10.43,,,10.04,11.02,,8.36,,,9.99,7.03,,-0.35,,,-1.63,-1.11,,0.74,,,0.92,0.46,
10.17,,,12.26,11.3,,16.02,,,10.85,5.86,,-1.27,,,-1.39,-1.27,,0.78,,,1,0.37,
12.72,,,14.14,11.63,,13.64,,,10.41,5.57,,-0.09,,,-0.86,-1.2,,1.41,,,1.2,0.44,
