A1_TTV,B1_TTV,C1_TTV,A2_TTV,B2_TTV,C2_TTV,A1_WARP,B1_WARP,C1_WARP,A2_WARP,B2_WARP,C2_WARP,A1_BOW,B1_BOW,C1_BOW,A2_BOW,B2_BOW,C2_BOW,A1_WAVI,B1_WAVI,C1_WAVI,A2_WAVI,B2_WAVI,C2_WAVI
13.13,10.64,13.57,9.74,9.67,13.04,13.76,14.37,7.44,12.31,7.36,6.76,0.25,-1.25,1.32,-2.18,0.39,0.18,0.83,0.71,1.35,0.7,1.01,0.53
13.12,9.8,9.37,9.8,8.46,12.95,14.2,14.73,6.61,12.92,5.91,7.25,-0.4,-1.99,-0.13,-3.2,0.1,-0.23,1.15,0.59,1.26,0.91,0.51,0.47
13.18,9.52,9.86,9.85,8.26,13.7,9.92,12.94,7.9,14.41,5.19,6.44,-0.71,-1.9,0.51,-3.56,0.09,0.28,0.52,0.36,1.1,0.83,0.49,0.44
12.89,9.72,8.8,11.14,8.23,13.84,8.23,14.17,9.25,10.86,4.76,7.21,-0.86,-2.6,-0.31,-1.33,0.19,,0.59,0.55,0.84,0.86,0.63,0.48
12.76,10.31,9.28,10.89,7.76,,8.32,12.78,12.92,8.53,3.96,,-0.84,-1.94,0.39,-1.98,0.11,,0.61,0.65,0.54,0.9,0.78,0.75
12.28,10.92,9.84,14.28,7.77,,8.01,11.79,10.84,9.39,6.58,,-1.14,-1.82,0.31,-2.32,-0.27,,0.64,0.76,0.64,0.99,1.01,
12.04,10.39,13.64,8.9,10.29,,6.79,7.9,8.27,10.18,8,,0.94,0.99,0.33,-2.86,-0.62,,0.68,0.73,0.55,0.87,0.7,
12.7,9.78,9.35,9.57,11.16,,6.89,9.21,8.13,10.01,7.58,,0.46,0.49,0.05,-3.31,-0.69,,0.61,0.69,0.55,0.83,0.4,
13,10.18,9.9,10.05,10.71,,9.96,8.83,6.86,11.05,5.91,,0.02,0.01,-0.38,-1.78,-0.93,,0.85,0.68,0.55,0.81,0.41,
13.4,10.7,9.68,10.96,10.43,,9.04,8.03,8.23,10.15,5.16,,0.21,-0.55,-0.98,-2.28,-0.74,,0.9,0.8,0.72,0.7,0.41,
